document_title,abstract,year,link,label
Classification-tree models of software-quality over multiple releases,Software quality models are tools for focusing software enhancement efforts. Such efforts are essential for mission-critical embedded software; such as telecommunications systems; because customer-discovered faults have very serious consequences and are very expensive to repair. We present an empirical study that evaluated software quality models over several releases to address the question; How long will a model yield useful predictions? We also introduce the Classification And Regression Trees (CART) algorithm to software reliability engineering practitioners. We present our method for exploiting CART features to achieve a preferred balance between the two types of misclassification rates. This is desirable because misclassifications of fault-prone modules often have much more severe consequences than misclassifications of those that are not fault-prone. We developed two classification-tree models based on four consecutive releases of a very large legacy telecommunications system. Forty-two software product; process; and execution metrics were candidate predictors. The first software quality model used measurements of the first release as the training data set and measurements of the subsequent three releases as evaluation data sets. The second model used measurements of the second release as the training data set and measurements of the subsequent two releases as evaluation data sets. Both models had accuracy that would be useful to developers.,2000,http://ieeexplore.ieee.org/document/809316/?arnumber=809316,yes
A Software Development Process for Small Projects,The authors' development process integrates portions of an iterative; incremental process model with a quality assurance process that assesses each process phase's quality and a measurement process that collects data to guide process improvement. The process's goal is to produce the high quality and timely results required for today's market without imposing a large overhead on a small project.,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6156718,no
A model for the sizing of software updates,The quality and reliability of software updates (SUs) are critical to a system vendor and its customers. As a result; it is important that SUs shipped to customers be successfully integrated into the field generic. A large amount of code must be shipped in an SU because customers want as many fixes and features as possible without compromising the reliability of their systems. However; as the size of an SU increases; so does its probability of field failure; thus making larger SUs riskier. The fundamental question is: How large should an SU be to keep the risk under control? This paper studies the tradeoff between the desire to ship large SUs and the failure risk carried with them. We formulate the problem as a nonlinear programming (NLP) problem; investigate it under various conditions; and derive sizing strategies for the SU. In particular; we derive a formula for the maximal SU size. We make a connection between software reliability and linear programming which; to the best of our knowledge; appears here for the first time. We also introduce some basic ideas related to the customer operational environment and explain the importance of the environment to software performance using an interesting analogy.,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6772126,no
Predicting risk of software changes,Reducing the number of software failures is one of the most challenging problems of software production. We assume that software development proceeds as a series of changes and model the probability that a change to software will cause a failure. We use predictors based on the properties of a change itself. Such predictors include size in lines of code added; deleted; and unmodified; diffusion of the change and its component subchanges; as reflected in the number of files; modules; and subsystems touched; or changed; several measures of developer experience; and the type of change and its subchanges (fault fixes or new code). The model is built on historic information and is used to predict the risk of new changes. In this paper we apply the model to 5ESS software updates and find that change diffusion and developer experience are essential to predicting failures. The predictive model is implemented as a Web-based tool to allow timely prediction of change quality. The ability to predict the quality of change enables us to make appropriate decisions regarding inspection; testing; and delivery. Historic information on software changes is recorded in many commercial software projects; suggesting that our results can be easily and widely applied in practice.,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6772130,no
Resource-constrained compaction of sequential circuit test sets,We investigate a new; resource-constrained method for static compaction of large; sequential circuit test sets. Our approach is based on two key observations: (1) since all physical defects cannot be covered using a single defect model; test sets include tests generated using multiple defect models like stuck-at; delay; or bridging fault models. Therefore; it is unlikely that a marginal drop (0.5 percent or less) in fault coverage during compaction of tests generated for a single defect model will adversely affect the test quality of the overall test set. (2) Fault coverage is an aggregate measure that can be preserved as long as the original and compacted test sets detect the same number of faults. The specific faults detected by the two test sets can be significantly different. In particular; the compacted vector set may detect new faults that are not detected by the original vector set. The new compaction technique was implemented as part of the recently proposed two-phase static compaction technique. Experimental results on ISCAS benchmarks and several production circuits show that: (1) the actual loss in fault coverage; if any; was significantly less than the pre-specified tolerance limit of 1 percent ; (2) fault coverage of the compacted test set can be higher than the original test set; and (3) significantly higher compaction is achieved using fewer CPU seconds; as compared to the baseline system that compacts test sets to preserve fault coverage,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=812640,no
Use of fault tree analysis for evaluation of system-reliability improvements in design phase,Traditional failure mode and effects analysis is applied as a bottom-up analytical technique to identify component failure modes and their causes and effects on the system performance; estimate their likelihood; severity and criticality or priority for mitigation. Failure modes and their causes; other than those associated with hardware; primarily electronic; remained poorly addressed or not addressed at all. Likelihood of occurrence was determined on the basis of component failure rates or by applying engineering judgement in their estimation. Resultant prioritization is consequently difficult so that only the apparent safety-related or highly critical issues were addressed. When thoroughly done; traditional FMEA or FMECA were too involved to be used as a effective tool for reliability improvement of the product design. Fault tree analysis applied to the product as a top down in view of its functionality; failure definition; architecture and stress and operational profiles provides a methodical way of following products functional flow down to the low level assemblies; components; failure modes and respective causes and their combination. Flexibility of modeling of various functional conditions and interaction such as enabling events; events with specific priority of occurrence; etc.; using FTA; provides for accurate representation of their functionality interdependence. In addition to being capable of accounting for mixed reliability attributes (failure rates mixed with failure probabilities); fault trees are easy to construct and change for quick tradeoffs as roll up of unreliability values is automatic for instant evaluation of the final quantitative reliability results. Failure mode analysis using fault tree technique that is described in this paper allows for real; in-depth engineering evaluation of each individual cause of a failure mode regarding software and hardware components; their functions; stresses; operability and interactions,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816275,no
Analysis of safety systems with on-demand and dynamic failure modes,An approach for the reliability analysis of systems with on demand and dynamic failure modes is presented. Safety systems such as sprinkler systems or other protection systems are characterized by such failure behavior. They have support subsystems to start up the system on demand; and once they start running; they are prone to dynamic failure. Failure on demand requires an availability analysis of components (typically electromechanical components) which are required to start or support the safety system. Once the safety system is started; it is often reasonable to assume that these support components do not fail while running. Further; these support components may be tested and maintained periodically while not in active use. Dynamic failure refers to the failure while running (once started) of the active components of the safety system. These active components may be fault tolerant and utilize spares or other forms of redundancy; but are not maintainable while in use. In this paper; the authors describe a simple yet powerful approach to combining the availability analysis of the static components with a reliability analysis of the dynamic components. This approach is explained using a hypothetical example sprinkler system; and applied to a water deluge system taken from the offshore industry. The approach is implemented in the fault tree analysis software package; Galileo,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816277,no
Enhancing the predictive performance of the Goel-Okumoto software reliability growth model,In this paper; enhancement of the performance of the Goel-Okumoto Reliability Growth model is investigated using various smoothing techniques. The method of parameter estimation for the model is the maximum likelihood method. The evaluation of the performance of the model is judged by the relative error of the predicted number of failures over future time intervals relative to the number of failures eventually observed during the interval. The use of data analysis procedures utilizing the Laplace trend test are investigated. These methods test for reliability growth throughout the data and establish ""windows"" that censor early failure data and provide better model fits. The research showed conclusively that the data analysis procedures resulted in improvement in the models' predictive performance for 41 different sets of software failure data collected from software development labs in the United States and Europe,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816292,no
Software FMEA techniques,Assessing the safety characteristics of software driven safety critical systems is problematic. The author has performed software FMEA on embedded automotive platforms for brakes; throttle; and steering with promising results. Use of software FMEA at a system and a detailed level has allowed visibility of software and hardware architectural approaches which assure safety of operation while minimizing the cost of safety critical embedded processor designs. Software FMEA has been referred to in the technical literature for more than fifteen years. Additionally; software FMEA has been recommended for evaluating critical systems in some standards; notably draft IEC 61508. Software FMEA is also provided for in the current drafts of SAE ARP 5580. However; techniques for applying software FMEA to systems during their design have been largely missing from the literature. Software FMEA has been applied to the assessment of safety critical real-time control systems embedded in military and automotive products. The paper is a follow on to and provides significant expansion to the software FMEA techniques originally described by the author in the 1993 RAMS paper Validating The Safety Of Real-Time Control Systems Using FMEA,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816294,no
A physics/engineering of failure based analysis and tool for quantifying residual risks in hardware,NASA Code Q is supporting efforts to improve the verification and validation and the risk management processes for spaceflight projects. A physics-of-failure based Defect Detection and Prevention (DDP) methodology previously developed has been integrated into a software tool and is currently being implemented on various NASA projects and as part of NASA's new model-based spacecraft development environment. The DDP methodology begins with prioritizing the risks (or failure modes; FMs) relevant to a mission which need to be addressed. These risks can be reduced through the implementation of a set of detection and prevention activities referred to herein as PACTs (preventative measures; analyses; process controls and tests). Each of these PACTs has some effectiveness against one or more FMs but also has an associated resource cost. The FMs can be weighted according to their likelihood of occurrence and their mission impact should they occur. The net effectiveness of various combinations of PACTs can then be evaluated against these weighted FMs to obtain the residual risk for each of these FMs and the associated resource costs to achieve these risk levels. The process thus identifies the project-relevant tall pole FMs and design drivers and allows real time tailoring with the evolution of the design and technology content. The DDP methodology allows risk management in its truest sense: it identifies and assesses risk; provides options and tools for risk decision making and mitigation and allows for real-time tracking of current risk status,2000,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=816338,no
