Dataset,50_mean,50_stdv,100_mean,100_stdv,150_mean,150_stdv,200_mean,200_stdv
7z,0.0066606688929159025,0.005726512625891059,0.0049372208168738975,0.0047904730806527475,0.003924212371938673,0.004225918623146814,0.0035399076355528834,0.004028780883043587
BDBC,0.0022417461937369763,0.0017808329699126103,0.0021545515388173364,0.0018193528186722034,0.0019437897131034429,0.0017943177172302124,0.0017394584432175498,0.001726982589217603
HSQLDB,0.010857843137254889,0.016632968906823906,0.009191176470588227,0.014570561477945968,0.006004901960784302,0.009018062068060367,0.005980392156862735,0.009017338471600288
LLVM,0.021361973249296583,0.012832085032861613,0.010014320038172564,0.010639857907250987,0.00902466213935601,0.010099093866910566,0.008914876936596847,0.0099810719204585
PostgreSQL,0.008226887391517857,0.0006528856712629787,0.00779059044481774,0.0006367923961262213,0.007504073857032374,0.0007874104445557843,0.007338329040451663,0.0008284291544125439
dconvert,0.03882896764252689,0.024987769043196138,0.0375963020030816,0.024361349652261464,0.03590138674884432,0.024400133213421542,0.03579866461222388,0.024488996446771837
deeparch,0.004506127342196815,0.012272118587700463,8.887201124673472e-05,9.309454417244402e-05,6.746434464035581e-05,7.268794964777413e-05,6.119054393508304e-05,6.93594587586287e-05
exastencils,0.03724693668936766,0.015348419483119814,0.031099959731127814,0.014021186459660846,0.029556024621538942,0.013943456561178109,0.026960231169877072,0.012389043885968114
javagc,0.0015506455616459067,0.0006337091508282623,0.0015506455616459067,0.0006337091508282623,0.0015506455616459067,0.0006337091508282623,0.0015506455616459067,0.0006337091508282623
redis,0.37098013386257206,0.07009685645294532,0.37098013386257206,0.07009685645294532,0.37098013386257206,0.07009685645294532,0.37098013386257206,0.07009685645294532
storm,6.418435708293567e-05,0.00011236245665271432,2.6372780385551333e-05,4.5603389038594156e-05,1.1211836067515e-05,2.6332016191747536e-05,9.623114357546667e-06,2.5862179159168902e-05
x264,0.2245684120416607,0.05742285126525415,0.2245684120416607,0.05742285126525415,0.2245684120416607,0.05742285126525415,0.2245684120416607,0.05742285126525415
