Dataset,Rows,GA-25_mean,GA-25_std,GA-25_budget,GA-25_runtime_mean,GA-25_runtime_std,GA-25_tier,GA-50_mean,GA-50_std,GA-50_budget,GA-50_runtime_mean,GA-50_runtime_std,GA-50_tier,GA-100_mean,GA-100_std,GA-100_budget,GA-100_runtime_mean,GA-100_runtime_std,GA-100_tier,GA-200_mean,GA-200_std,GA-200_budget,GA-200_runtime_mean,GA-200_runtime_std,GA-200_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-25_mean,ILS-25_std,ILS-25_budget,ILS-25_runtime_mean,ILS-25_runtime_std,ILS-25_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,TS-25_mean,TS-25_std,TS-25_budget,TS-25_runtime_mean,TS-25_runtime_std,TS-25_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier,ONEPLUSONE-25_mean,ONEPLUSONE-25_std,ONEPLUSONE-25_budget,ONEPLUSONE-25_runtime_mean,ONEPLUSONE-25_runtime_std,ONEPLUSONE-25_tier,ONEPLUSONE-50_mean,ONEPLUSONE-50_std,ONEPLUSONE-50_budget,ONEPLUSONE-50_runtime_mean,ONEPLUSONE-50_runtime_std,ONEPLUSONE-50_tier,ONEPLUSONE-100_mean,ONEPLUSONE-100_std,ONEPLUSONE-100_budget,ONEPLUSONE-100_runtime_mean,ONEPLUSONE-100_runtime_std,ONEPLUSONE-100_tier,ONEPLUSONE-200_mean,ONEPLUSONE-200_std,ONEPLUSONE-200_budget,ONEPLUSONE-200_runtime_mean,ONEPLUSONE-200_runtime_std,ONEPLUSONE-200_tier,HILL-25_mean,HILL-25_std,HILL-25_budget,HILL-25_runtime_mean,HILL-25_runtime_std,HILL-25_tier,HILL-50_mean,HILL-50_std,HILL-50_budget,HILL-50_runtime_mean,HILL-50_runtime_std,HILL-50_tier,HILL-100_mean,HILL-100_std,HILL-100_budget,HILL-100_runtime_mean,HILL-100_runtime_std,HILL-100_tier,HILL-200_mean,HILL-200_std,HILL-200_budget,HILL-200_runtime_mean,HILL-200_runtime_std,HILL-200_tier,Random-25_mean,Random-25_std,Random-25_budget,Random-25_runtime_mean,Random-25_runtime_std,Random-25_tier,Random-50_mean,Random-50_std,Random-50_budget,Random-50_runtime_mean,Random-50_runtime_std,Random-50_tier,Random-100_mean,Random-100_std,Random-100_budget,Random-100_runtime_mean,Random-100_runtime_std,Random-100_tier,Random-200_mean,Random-200_std,Random-200_budget,Random-200_runtime_mean,Random-200_runtime_std,Random-200_tier
Apache_AllMeasurements,192,0.1558833333333333,0.052506894562601845,25,0.2067788958549499,0.005093574190584626,1,0.11973750000000001,0.05117279004304415,50,0.38890531063079836,0.022266631963612518,1,0.09228333333333327,0.05563902034359815,100.0,0.7811292886734009,0.054701409107207825,1.0,0.09228333333333327,0.05563902034359815,200,1.5682612776756286,0.09996574121790941,1,0.3461750000000003,0.3196108915586644,200.0,0.36843820810317995,0.03237884405831582,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.13083333333333325,0.08880720296375524,25,0.2111568570137024,0.008338729223541922,1,0.05808333333333321,7.119154932824459e-18,50,0.3425179958343506,0.017892412692673238,1,0.05808333333333321,7.119154932824459e-18,100,0.5908132553100586,0.0366218143847468,1,0.05808333333333321,7.119154932824459e-18,200.0,0.7420868515968323,0.07601505507188173,1.0,0.5603291666666667,0.23628317935117227,25,0.26728502511978147,0.005157313959690421,1,0.45603333333333324,0.2120929975739015,50,0.449993896484375,0.0059051766708370515,1,0.29757083333333345,0.20501743128536196,100,1.0241225600242614,0.05143183064179976,1,0.10686249999999975,0.09524148392115106,200.0,1.5419009804725647,0.1691321986892476,1.0,0.05808333333333321,7.119154932824459e-18,25,0.20207437276840207,0.0021057362286508634,1,0.05808333333333321,7.119154932824459e-18,50,0.4103158712387085,0.01677377094958429,1,0.05808333333333321,7.119154932824459e-18,100,0.6750232338905334,0.04754201193063786,1,0.05808333333333321,7.119154932824459e-18,200,0.8713077545166016,0.048335798569870296,1,0.042675000000000865,0.026991225290638476,25.0,0.29721406698226926,0.014585005438383812,1.0,0.023745833333334153,0.009972604103359322,50,0.4124441027641296,0.018529739924927218,1,inf,nan,100,0.7818090796470643,0.04184581581080137,1,inf,nan,200,0.8009871482849121,0.027969517392040746,1
BDBC,2560,0.09298080935524633,0.16541389781837515,25,0.2048914551734924,0.004587308696706113,1,0.06344888428631577,0.1367166493320707,50,0.41272934675216677,0.00806818144612134,1,0.05597506824930383,0.13875037301590612,100.0,0.8547991991043091,0.03763932033881357,1.0,0.05519332478134983,0.13900827134155633,200,1.5979356169700623,0.05136413269816613,1,0.8171906121009165,0.26008093506710483,200.0,0.29533752202987673,0.02083400424940764,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.21230321117675502,0.2316056131344169,25,0.2063519716262817,0.006648737576154571,1,0.0744824668900308,0.1666831407828706,50,0.4014652967453003,0.038969415621756716,1,0.004257378818224425,0.002969472070143637,100,0.7339218139648438,0.027707301221592023,1,0.0026973125133124,0.0,200.0,1.2506735682487489,0.11877906398185349,1.0,0.5726062723752305,0.3325209365757195,25,0.25445411205291746,0.001018653451687613,1,0.409913831009752,0.36186219465912484,50,0.4740620136260986,0.002022087792616346,1,0.2561467596479253,0.34034316056706426,100,0.8459647297859192,0.10925141299824817,1,0.028855212121877093,0.07543713276868294,200.0,1.582715880870819,0.18395046610464513,1.0,0.3141273617408762,0.2879779212206029,25,0.2231073260307312,0.030001165799740697,1,0.13432299578427212,0.2012794347727205,50,0.45268222093582156,0.02343597733364499,1,0.034809807767136776,0.10085147785507736,100,0.8366193175315857,0.03857839209612038,1,0.006177016272735826,0.0025333762996141407,200,1.5396353721618652,0.087593669143778,1,0.00475932294781794,0.002026537028926383,25.0,0.23306989669799805,0.004227915960018983,1.0,0.00369102588854832,0.0018137032823549893,50,0.44544254541397094,0.0066277093517145315,1,inf,nan,100,0.8743552684783935,0.03778599686667417,1,inf,nan,200,0.9164121389389038,0.0074953671621815435,1
FFM-1000-200-0.50-SAT-1,10000,0.4006245363494408,0.019446682542141935,25,0.7347702264785767,0.03315291026399401,1,0.38329555079609046,0.01609739936396298,50,1.544361126422882,0.14594743690647888,1,0.3682994312988223,0.00942005642487777,100.0,2.495464587211609,0.13127894406572424,1.0,0.36426522731181754,0.008481081491186475,200,5.198842859268188,0.13533602085386753,1,0.3825201648208091,0.021960002582119525,200.0,2.82689049243927,0.8330974932621283,1.0,0.39181870077777836,0.023777862042745575,50.0,1.2922114133834839,0.12095645895973435,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4142083504991748,0.032579877765201694,25,0.7585395812988281,0.03852162741722164,1,0.38604844855703935,0.022602420238476327,50,1.3739191532135009,0.11447425925975914,1,0.37626230552140993,0.016282317143863537,100,2.401148462295532,0.10975445198730714,1,0.36994551692850813,0.015961256998335494,200.0,4.857972717285156,0.7093324045029928,1.0,0.4535348109395896,0.04236048810893769,25,1.022354245185852,0.0651013945967577,1,0.41983037965369163,0.03154719486676738,50,1.8920228362083436,0.21917399366104218,1,0.39237625316461067,0.027473332244875023,100,1.4626375198364259,0.018379564159620027,1,0.37490109269972016,0.018440969072595476,200.0,2.8297290086746214,0.013458035880796321,1.0,0.4090313111017642,0.0,25,0.5910989761352539,0.004858933321145157,1,0.38734534607220034,0.01873024075569922,50,1.359032678604126,0.023045460842600556,1,0.3820188989070602,0.017349523239574314,100,2.8069711089134217,0.11202388308411486,1,0.3596568444596103,0.0009694987717976572,200,4.772788405418396,0.14889873222267438,1,0.43696739417294655,0.015510913179236172,25.0,0.8787481665611268,0.2613089934792167,1.0,0.423776426893039,0.015316960514652594,50,2.0227717399597167,0.21426054628858524,1,inf,nan,100,2.841377878189087,0.1269933945504103,1,inf,nan,200,2.83413450717926,0.15033913456067421,1
FM-500-100-0.50-SAT-1,10000,0.3673350453291372,0.0290543411265961,25,0.36332629919052123,0.07042487714514885,1,0.33084941362711956,0.03488815155394685,50,0.6900353550910949,0.10764375672090747,1,0.29153037322846853,0.021370950683769065,100.0,2.1379051327705385,0.09649484728058906,1.0,0.28359952248094045,0.021876740179700743,200,2.5528444647789,0.07923472504854005,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3937036405085306,0.07392955524113519,25.0,0.5301632523536682,0.04702408279489713,1.0,nan,nan,nan,nan,nan,nan,0.37917937712200167,0.0667997341282164,25,0.5348000526428223,0.016660263605765877,1,0.3372469662585087,0.049564674407466876,50,1.0012136340141295,0.02050989039747069,1,0.3304583080058151,0.04589246709732894,100,1.8605874061584473,0.07109025061380808,1,0.3304583080058151,0.04589246709732894,200.0,2.862711799144745,0.31310521233658145,1.0,0.4568542111322974,0.08047454797114693,25,0.5951980113983154,0.015529505104603034,1,0.40846827265305635,0.06576795543037513,50,1.6160989642143249,0.10230799948661065,1,0.36302822302437876,0.06816507012965733,100,3.443608117103577,0.2412006213140233,1,0.3168531157423013,0.043794582858109964,200.0,5.914345800876617,0.29156560568389067,1.0,0.3571386149254973,0.05432566894350266,25,0.757884407043457,0.058928108149315254,1,0.3296531636634198,0.03599613898354702,50,1.0776862621307373,0.04188745123238545,1,0.3128954100162914,0.027787497069584062,100,2.821326422691345,0.2169049749081415,1,0.3015843649830934,0.023828168387791282,200,4.121476554870606,0.23509737896971228,1,0.3894460231227039,0.030625003471619314,25.0,0.825861120223999,0.058955269098997225,1.0,0.36799538557644706,0.02372588865134181,50,0.7467893362045288,0.09786234208818331,1,inf,nan,100,3.3395933151245116,0.2048763137186552,1,inf,nan,200,1.3970597505569458,0.058327486476042974,1
HSQLDB,864,0.01718547794117657,0.01377322919020064,25,0.23331035375595088,0.0025714905186488756,1,0.013510845588235398,0.012264118614121806,50,0.43333165645599364,0.007817386046881702,1,0.011893014705882419,0.01192355325419629,100.0,0.5692021727561951,0.0101827981539285,1.0,0.01164080882352947,0.011760483296733452,200,0.9572790503501892,0.20199808120070095,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6022786764705879,0.44045094087021297,100.0,0.37105963230133054,0.06348937881516462,1.0,0.605936213235294,0.4395156481030996,25,0.20591415166854854,0.023315104052929653,1,0.6022189338235291,0.44065905912310793,50,0.23048368692398066,0.03192534272922103,1,0.5660641544117644,0.4593145023335555,100,0.5613572597503662,0.07910325167906307,1,0.5658667279411761,0.4591490560930691,200.0,0.5985552787780761,0.09499720162301359,1.0,0.5824683823529406,0.4019922394316931,25,0.1593429088592529,0.0016334046302351115,1,0.42063713235294087,0.33848624574942165,50,0.43830347061157227,0.002193812955838552,1,0.1798001838235294,0.2384493893212818,100,0.8140921235084534,0.002350840088108963,1,0.09803749999999997,0.20260699350294284,200.0,1.0808102369308472,0.21913268922716814,1.0,0.020931801470588283,0.03840415768322635,25,0.15583444833755494,0.010462470532009648,1,0.005783088235294155,0.006434490566925671,50,0.29798136949539183,0.020010303094897833,1,0.0036268382352941204,0.0013334288045651372,100,0.5335738778114318,0.05238413860302988,1,0.00315661764705882,0.00036772909301490325,200,1.721610462665558,0.18896819095439363,1,0.01289926470588027,0.008301698309995855,25.0,0.1688906669616699,0.0018854078899735668,1.0,0.008213051470586053,0.004079057738380844,50,0.3251048684120178,0.0025843974578940387,1,inf,nan,100,0.6471452593803406,0.007543951549929634,1,inf,nan,200,1.0515235900878905,0.07343414603515555,1
Health-ClosedIssues0003,10000,0.5275337877908839,0.09376334426576875,25,0.45709930658340453,0.016213981955979666,1,0.5015852054424396,0.10668384938549982,50,0.7306689262390137,0.15306200692577343,1,0.46871562996749444,0.1122307833857032,100.0,1.0985464334487915,0.21320581976465228,1.0,0.4418253040275011,0.1194876312659124,200,1.7170149207115173,0.2922611411524836,1,nan,nan,nan,nan,nan,nan,0.5843710169533913,0.08101890134664048,50.0,0.5101872682571411,0.13263681731775992,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.592297875582146,0.08780678136809203,25,0.37116312980651855,0.0419321619041037,1,0.5825911619629047,0.09427151199968219,50,0.6286296725273133,0.08159827877563923,1,0.5736953227565892,0.09595005503474915,100,0.8895262002944946,0.22754114382249727,1,0.5633430454537038,0.10304918231757457,200.0,3.3075708389282226,0.43767619405820235,1.0,0.5414926062648339,0.10104864487498463,25,0.7902492761611939,0.012595714924509546,1,0.5132678381058596,0.0929250951652723,50,1.5692352175712585,0.011098620994722464,1,0.48041366851882794,0.0906634771257372,100,2.7611111640930175,0.04735822774605018,1,0.4758835462785623,0.0858114116148507,200.0,5.193263852596283,0.4261560101249821,1.0,0.5069844485027458,0.11599259195424412,25,0.466123902797699,0.046843475891926376,1,0.4692541626972866,0.11703978068852772,50,1.7352687954902648,0.1132468791571334,1,0.40551753302757065,0.10163693363476407,100,1.3556726217269897,0.2825962992364525,1,0.3894544661545414,0.09198764724854441,200,4.407296264171601,0.36262607072367226,1,0.24011810546993623,0.03389114393793446,25.0,0.7589733242988587,0.06031985076191776,1.0,0.2103862118502177,0.032049944375875244,50,1.3495413541793824,0.007782948804860412,1,inf,nan,100,1.4829983234405517,0.2608961896573529,1,inf,nan,200,1.4617913722991944,0.2542629029585909,1
Health-ClosedIssues0004,10000,0.5693915264097501,0.03065357157327693,25,0.4608523488044739,0.012947119209082713,1,0.5625024127975957,0.026439958752013378,50,0.716078770160675,0.1548537116760203,1,0.5471164155705812,0.031212900458928102,100.0,2.314817452430725,0.2354191802872153,1.0,0.5294471247625874,0.028648308350019826,200,3.1433927416801453,0.2929747374451121,1,0.6043253651157159,0.07918223709217648,200.0,0.8579166889190674,0.2537104374079594,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.6202936627266605,0.0926735298647223,25,0.5658573389053345,0.07677087864074394,1,0.6103627025720157,0.09662287992349082,50,0.652339506149292,0.09858181826200839,1,0.5959834623008368,0.09606996754656184,100,0.9242315053939819,0.2632343001290133,1,0.5771625255672546,0.11706073453354679,200.0,3.080229842662811,0.5307668134697835,1.0,0.5929543553874177,0.05059739689915248,25,0.6343763113021851,0.08173465307253988,1,0.5761437109000057,0.04346617819017157,50,2.030267822742462,0.05464167344211317,1,0.5571543222445453,0.03524225358867844,100,2.803797209262848,0.13860242457262092,1,0.5502625674871222,0.031186243410967558,200.0,4.666211938858032,0.30760251763581276,1.0,0.5671082363720981,0.06380947313087307,25,0.5991671562194825,0.05570229876034816,1,0.5404239675570173,0.06251096328356509,50,0.7249527096748352,0.16973082663360506,1,0.5162638691357102,0.0483947274091097,100,2.7486929893493652,0.22043904482212234,1,0.5061729097530336,0.04512982038303398,200,3.982771873474121,0.4227948479956461,1,0.29340004537157804,0.00970258641186727,25.0,0.7326907277107239,0.009483354784473675,1.0,0.2888868839289943,0.008603565672133112,50,1.2489407539367676,0.15675037519155857,1,inf,nan,100,3.546223485469818,0.17348649944800146,1,inf,nan,200,2.71259092092514,0.044886439346787016,1
Health-ClosedIssues0007,10000,0.5299874515471419,0.04845148870755689,25,0.7250605344772338,0.050547831713639774,1,0.5031853327950684,0.04955191644338733,50,1.6227161526679992,0.10944523594320955,1,0.47598664576064964,0.05380449859202461,100.0,1.1178358554840089,0.24601922487686653,1.0,0.44416219352058367,0.043558332024167985,200,1.727470290660858,0.31036636869175344,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5525600424103488,0.05488888783620342,100.0,1.0242315173149108,0.3031144769071789,1.0,0.5772067071004159,0.026348074475903593,25,0.36687976121902466,0.039746802326126665,1,0.567523230384424,0.040894129151702714,50,0.5899290680885315,0.08847076718582972,1,0.5446432700925701,0.0750217208767083,100,1.0573089599609375,0.20371579311273133,1,0.5153875445374668,0.09984745685356383,200.0,3.012155735492706,0.5088946216791463,1.0,0.5473093112592664,0.05652401925411798,25,0.7160907626152039,0.013088688204438351,1,0.52316735335047,0.06251654780401535,50,0.8065060615539551,0.15125226026394617,1,0.49582079743933904,0.06405906402153587,100,2.660683882236481,0.05565938085463186,1,0.47932132616002915,0.06248761263271271,200.0,5.964171612262726,0.09804209054717185,1.0,0.5169408140983178,0.06574392919427816,25,0.45307704210281374,0.03539251032785011,1,0.4757182277180455,0.05094539027426718,50,0.711075735092163,0.15778015432234954,1,0.44410792685277256,0.04482682730735096,100,1.3113459467887878,0.2824675249008637,1,0.4401155213615078,0.04205022073960077,200,1.7197734355926513,0.3220774591073534,1,0.5356284207027049,0.07404725742393149,25.0,0.7776913404464721,0.004988727881373751,1.0,0.5120933587047618,0.07892682246817388,50,0.9147325038909913,0.1433794836436223,1,inf,nan,100,1.492244577407837,0.29492804128099215,1,inf,nan,200,1.484679651260376,0.2790349903509394,1
Health-ClosedIssues0011,10000,0.1516464050058535,0.0218584368890718,25,0.7160603642463684,0.0271376592854637,1,0.15148608082382198,0.021719953740468274,50,1.405538594722748,0.1260682143295135,1,0.1496930149309802,0.02359395270687973,100.0,2.0942595839500426,0.16470083236985597,1.0,0.14301352104686776,0.03145172157662627,200,3.1440481543540955,0.32324972756592407,1,nan,nan,nan,nan,nan,nan,0.1570039921008365,0.018747992766172807,50.0,0.7139101266860962,0.23942782275767263,1.0,0.1639477230393571,0.006980188809279341,25.0,0.4882365703582764,0.11322255081933348,1.0,0.14754081208798495,0.028118940754819518,100.0,1.1898922085762025,0.36595259874850505,1.0,0.16484406832888987,0.00813258924875249,25,0.3612236499786377,0.04302387917710876,1,0.16280166817193967,0.0071465253985360435,50,0.8749263882637024,0.12092547068444659,1,0.16056707653284194,0.005993449265133717,100,1.824198830127716,0.24450278743285117,1,0.1588165741167628,0.005912331738491566,200.0,2.9251898527145386,0.5531730242828217,1.0,0.16513370356480267,0.02062750209727811,25,0.7871552467346191,0.013366241391756585,1,0.16199829365708923,0.02273079364221767,50,1.399746334552765,0.012715272013762036,1,0.15364126593759814,0.028101014179010356,100,2.3160905241966248,0.18482059190567912,1,0.1509243393249447,0.027971091683377396,200.0,5.960179054737091,0.12245389211313411,1.0,0.15019811444176198,0.01998028865363233,25,0.6729904770851135,0.04477604511058736,1,0.14402481696777686,0.023563660631459662,50,1.3740318894386292,0.09453699016364968,1,0.14177399558621048,0.022120813798572832,100,3.2743937015533446,0.18761162706565532,1,0.1350347617516994,0.027670222791453765,200,4.287394952774048,0.3838695094946576,1,0.06774736171015318,0.05891064117503508,25.0,0.753360915184021,0.021568120051178283,1.0,0.04124536535376262,0.038322783369616864,50,1.4652202606201172,0.04076429903627926,1,inf,nan,100,3.1477356791496276,0.15603732614446733,1,inf,nan,200,3.171626794338226,0.25658819177568765,1
Health-ClosedPRs0004,10000,0.11454661710209631,0.003411231186804078,25,0.64493328332901,0.023106599238529524,1,0.11422569688774901,0.0030997897124714416,50,1.2034649968147277,0.07114815767177841,1,0.11368438128478846,0.0026692248310842643,100.0,2.050461745262146,0.17536723341070487,1.0,0.112771535233426,0.0023225013435805445,200,3.4476724743843077,0.364050650455843,1,0.11381134513536917,0.002786941196815625,200.0,1.5083146691322327,0.4113137175281559,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.11612393015168154,0.00324098764782926,25,0.5060853838920594,0.06963218462772011,1,0.11514032446834374,0.003125961459475081,50,0.9010556101799011,0.1495212478502076,1,0.11388273945980257,0.002530007362111037,100,1.3760735511779785,0.22475696143295223,1,0.11302212253720205,0.0026105115524422294,200.0,2.765875720977783,0.41916253087401273,1.0,0.11814687241678386,0.0018417855765592236,25,0.6921016812324524,0.09351139028539289,1,0.11752221105022251,0.0018925098190011233,50,1.5648330569267273,0.014081045422798285,1,0.11585797477530953,0.0022444406880694403,100,3.1049158453941343,0.1894995952856556,1,0.11499642500818896,0.002129742252559212,200.0,2.7910009026527405,0.3357128757176247,1.0,0.11466777303869469,0.00263754440198622,25,0.7377123236656189,0.07369919137561354,1,0.11235053060002478,0.0022155673115086777,50,1.2097078084945678,0.09035009650383166,1,0.11153940124067241,0.002150961933633569,100,2.718938684463501,0.20355072472614852,1,0.11102766389587963,0.0022606258989960504,200,3.6290588855743406,0.375847968115889,1,0.4655783862363879,0.13401229021539887,25.0,0.7299945116043091,0.01029030280649812,1.0,0.3724799367983847,0.08661803001502058,50,1.4114541888237,0.016495340191730955,1,inf,nan,100,2.9929298520088197,0.2118746320943929,1,inf,nan,200,2.783611011505127,0.09031129743088784,1
