Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,MOEAD-30_mean,MOEAD-30_std,MOEAD-30_budget,MOEAD-30_runtime_mean,MOEAD-30_runtime_std,MOEAD-30_tier,MOEAD-50_mean,MOEAD-50_std,MOEAD-50_budget,MOEAD-50_runtime_mean,MOEAD-50_runtime_std,MOEAD-50_tier,MOEAD-100_mean,MOEAD-100_std,MOEAD-100_budget,MOEAD-100_runtime_mean,MOEAD-100_runtime_std,MOEAD-100_tier,MOEAD-200_mean,MOEAD-200_std,MOEAD-200_budget,MOEAD-200_runtime_mean,MOEAD-200_runtime_std,MOEAD-200_tier
7z,68640,inf,nan,30,8.141994476318359e-06,3.560999807952209e-06,1,inf,nan,50,6.568431854248047e-06,3.8548562626673655e-06,1,inf,nan,100,5.972385406494141e-06,3.2122308159184315e-06,1,inf,nan,200,6.532669067382812e-06,3.144386231224736e-06,1,inf,nan,30,130.30155127048494,0.17306996652550924,1,inf,nan,50,130.29097841978074,0.11855999887927844,1,inf,nan,100,130.1060454249382,0.32825152077237535,1,inf,nan,200,130.26881873607635,0.058393613819037224,1
Apache_AllMeasurements,192,inf,nan,30,4.780292510986328e-06,8.869515203463539e-07,1,inf,nan,50,5.292892456054687e-06,2.8887045346948543e-06,1,inf,nan,100,5.030632019042969e-06,7.614478789649636e-07,1,inf,nan,200,3.6478042602539064e-06,2.0670824954510927e-06,1,inf,nan,30,131.05928049087524,0.1627359185693656,1,inf,nan,50,130.954076397419,0.31025100212677137,1,inf,nan,100,131.01176006793975,0.06575925825293016,1,inf,nan,200,130.9664348602295,0.1392983237183372,1
BDBC,2560,inf,nan,30,5.221366882324218e-06,1.6461880816652866e-06,1,inf,nan,50,5.1140785217285155e-06,2.6418977831069415e-06,1,inf,nan,100,4.6372413635253905e-06,2.8552396362215313e-06,1,inf,nan,200,4.434585571289063e-06,2.7418409385458947e-06,1,inf,nan,30,130.8543259382248,0.4883260581733781,1,inf,nan,50,131.02987164258957,0.15672780099353156,1,inf,nan,100,131.03167614936828,0.1952138078424384,1,inf,nan,200,131.02327624559402,0.13567786218038375,1
FFM-1000-200-0.50-SAT-1,10000,0.34442651855589895,0.03669258657814968,30,0.6954844117164611,0.14370310989885965,4,0.3294254104222328,0.026233243947529607,50,1.24627343416214,0.16715695275678022,3,0.3057074603252999,0.024689545997240447,100,2.6755979895591735,0.170994027477349,2,0.28615791477027,0.020460544531459134,200,7.441530930995941,0.5595159023776356,1,inf,nan,30,129.37120592594147,0.6758349840509217,5,inf,nan,50,129.7174930691719,0.8837645265215709,5,inf,nan,100,129.66230660676956,0.7371543686336184,5,inf,nan,200,129.41023913621902,0.6140027488202451,5
FFM-125-25-0.50-SAT-1,10000,0.29259447458625276,0.042442216546394476,30,0.7691832065582276,0.058735735503898934,4,0.268680045067425,0.03198808359945295,50,1.1592081427574157,0.14574700529840134,3,0.2594554020668903,0.024193969368836592,100,3.9428395509719847,0.3252678289817206,2,0.2449000085282793,0.02031682162982904,200,10.570190727710724,1.604817955068752,1,inf,nan,30,130.2401238322258,0.08963674056735092,5,inf,nan,50,130.21089704036712,0.13680055741538713,5,inf,nan,100,130.34173114299773,0.2744256558488147,5,inf,nan,200,130.3111626148224,0.24672191194458704,5
FFM-250-50-0.50-SAT-1,10000,0.399555910956202,0.021609746518316434,30,0.4697692632675171,0.003186810004123827,4,0.3872521942687682,0.018434249832946555,50,0.737042248249054,0.06469620486629023,3,0.378644560102394,0.015666896885637212,100,2.5809151411056517,0.28488192438910426,2,0.37020229269764515,0.014036585281784496,200,6.028120851516723,0.15477729159354048,1,inf,nan,30,129.6184562563896,0.15182331550692657,5,inf,nan,50,129.66515662670136,0.10137388140229632,5,inf,nan,100,129.602963244915,0.4769883042590828,5,inf,nan,200,129.71254040002822,0.14699755655246025,5
FFM-500-100-0.50-SAT-1,10000,0.38760670733984215,0.03335755607141762,30,0.35695658922195433,0.00694283035687514,4,0.36956385221527394,0.030110713560668866,50,0.5980511903762817,0.0034892086129561383,3,0.35725206965775386,0.027871511418979013,100,1.7637289047241211,0.11764293459426363,2,0.33439087887473173,0.012096203208717906,200,4.409252548217774,0.16620380851648817,1,inf,nan,30,129.80629791021346,1.3786662152305267,5,inf,nan,50,129.12497047185897,0.15001699894321432,5,inf,nan,100,128.682756960392,0.17084670061780374,5,inf,nan,200,128.7836481451988,0.11253495415266168,5
FM-500-100-0.25-SAT-1,10000,0.37943010233528285,0.025618973645748014,30,0.5921401977539062,0.06947767215028496,4,0.3684085178838649,0.018100982424279318,50,0.6507107377052307,0.051408409649120225,3,0.358148557591898,0.010627399458106139,100,1.633362340927124,0.09052327972840074,2,0.3527880639443675,0.011195435859666515,200,6.935920798778534,0.18278656316269903,1,inf,nan,30,129.25439344644548,0.797107716510274,5,inf,nan,50,129.10909827947617,0.11420099625745461,5,inf,nan,100,129.60263237953185,1.2131677455852976,5,inf,nan,200,129.08076528310775,0.421932465229679,5
FM-500-100-0.50-SAT-1,10000,0.36978387397522783,0.03358612452405695,30,0.34247187376022337,0.05074956463929958,4,0.355370482568845,0.03341803790819428,50,0.6135926485061646,0.002947261165691251,3,0.33676524480200876,0.02565999339841847,100,1.6822790503501892,0.12773127640508658,2,0.3235222356143674,0.013026476515186415,200,5.39448174238205,0.09020735415933254,1,inf,nan,30,129.43512737751007,1.565910548831774,5,inf,nan,50,129.2979572534561,1.3815342096787806,5,inf,nan,100,129.24793639183045,0.7662788195383025,5,inf,nan,200,129.21957100629805,0.6481722772318712,5
FM-500-100-0.75-SAT-1,10000,0.34809465255778743,0.020394572018585806,30,0.3366902589797974,0.010870783590308915,4,0.3409468323131648,0.018689276896710048,50,0.6390412449836731,0.06628903934011338,3,0.32525271847687864,0.020378375998723056,100,1.4364370346069335,0.09525962636965407,2,0.31085146972695843,0.02217670910252104,200,3.801566207408905,0.08970227062230754,1,inf,nan,30,128.8479469895363,0.10512330287674172,5,inf,nan,50,128.95024976730346,0.3908468826148235,5,inf,nan,100,129.4031103014946,1.069804474350524,5,inf,nan,200,129.33793711662292,0.7160451105134092,5
