Dataset,Rows,NSGA2-30_mean,NSGA2-30_std,NSGA2-30_budget,NSGA2-30_runtime_mean,NSGA2-30_runtime_std,NSGA2-30_tier,NSGA2-50_mean,NSGA2-50_std,NSGA2-50_budget,NSGA2-50_runtime_mean,NSGA2-50_runtime_std,NSGA2-50_tier,NSGA2-100_mean,NSGA2-100_std,NSGA2-100_budget,NSGA2-100_runtime_mean,NSGA2-100_runtime_std,NSGA2-100_tier,NSGA2-200_mean,NSGA2-200_std,NSGA2-200_budget,NSGA2-200_runtime_mean,NSGA2-200_runtime_std,NSGA2-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,inf,nan,30,5.221366882324218e-06,1.6461880816652866e-06,5,inf,nan,50,5.1140785217285155e-06,2.6418977831069415e-06,5,inf,nan,100,4.6372413635253905e-06,2.8552396362215313e-06,5,inf,nan,200,4.434585571289063e-06,2.7418409385458947e-06,5,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,4,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,3,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,1.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,2.0
Health-ClosedIssues0000,10000,0.2436035472793674,0.08124869683254071,30,0.4111568808555603,0.017896622850373353,3,0.1971589273666558,0.04340968601686768,50,0.7020341038703919,0.033024599375745624,2,0.1762449802718085,0.01737836565604451,100,1.5049140095710754,0.04263887977870421,1,0.16525997917143045,0.01748495069092038,200,2.9389729380607603,0.30358763864035315,1,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,1,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.4534503448138981,0.021031773269409207,30,0.5042796850204467,0.001995079614613707,3,0.4443007046898203,0.026285755972866955,50,0.9312045097351074,0.03509764228406714,2,0.43980374627476343,0.024623764109980874,100,1.2952330827713012,0.23735182141399777,2,0.42221692934720256,0.02479846328675889,200,5.056904065608978,0.06944379009162537,1,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,3,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,2,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,1.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,1.0
Health-ClosedIssues0002,10000,0.1788156469320195,0.007005811315925642,30,0.5257809042930603,0.007145431572648381,2,0.17424291459639574,0.020737231829568176,50,0.8903644561767579,0.08255721796555562,2,0.16920274124214613,0.028554942598215186,100,1.7104488849639892,0.18717054267532485,2,0.14771890651538433,0.04570387814947718,200,3.775747263431549,0.23952680199503998,1,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,2,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,2,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,2.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,1.0
Health-ClosedIssues0003,10000,0.21397280771566315,0.040386414560268445,30,0.5202122926712036,0.004735469087465573,3,0.19247584490314723,0.036260887501976966,50,0.8616321444511413,0.11131883254920291,2,0.17094856255900365,0.02797369303225981,100,1.9047646164894103,0.24552073302452898,1,0.15385063390375242,0.005470043204040262,200,3.847444224357605,0.23834443545763082,1,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,3,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,2,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.292052620866614,0.011274834418332188,30,0.6185630083084106,0.004352018293001084,2,0.2870530059384997,0.008469782539811831,50,0.8556672096252441,0.10601630761928388,2,0.2804625666687478,0.007928082518774532,100,1.8399478316307067,0.23499876337474035,1,0.2781040386510164,0.007609851530381799,200,3.827814149856567,0.2624242139338894,1,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,2,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,1,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.24040169914290127,0.004658361305913099,30,0.5699543237686158,0.010619286165967511,3,0.23808492129231767,0.0048390089749992034,50,0.9864761829376221,0.03430890233773411,2,0.2374768892684561,0.004801781863245757,100,1.6979477763175965,0.17720339410094677,2,0.23347282164787458,0.00454413167665079,200,4.1591023206710815,0.33219403001915476,1,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,3,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,2,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.12342376603815867,0.008522299168281337,30,0.5564061164855957,0.013905898011385443,3,0.11802956448020305,0.0074000705597693965,50,0.8004163384437561,0.03738103702201573,3,0.11109920642574841,0.008129921259893563,100,1.8154330134391785,0.20342413267119483,2,0.10524387544302356,0.008816516663489198,200,6.154932594299316,0.11567831696315055,1,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,3,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,2,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.5432524381178477,0.06895079653698193,30,0.620739758014679,0.03350877886076776,3,0.5205438405100643,0.06334087359865206,50,1.048375380039215,0.07350640709069638,3,0.48688080039753795,0.06060144761518054,100,3.1255405068397524,0.1127385444442417,2,0.45551646640137705,0.07123122577400072,200,5.128142249584198,0.4601871238005273,1,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,3,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,1,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,1.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,1.0
Health-ClosedIssues0008,10000,0.30446965780703106,0.04646613774076014,30,0.6984092712402343,0.013269986900179985,3,0.28941259865993413,0.04003387445645791,50,1.1464046716690064,0.04750934664068639,2,0.2580297076677327,0.0150904977359868,100,2.3228377223014833,0.1454405839649292,1,0.2507176972712499,0.01020868660190119,200,6.552331531047821,0.11183270651496476,1,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,2,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
