Dataset,Rows,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier
7z,68640,0.5290769968242153,0.2989251123336733,30,0.3659201145172119,0.005239492795263418,2,0.4248632317284938,0.2644232470024072,50,0.8233722805976867,0.06142693035910097,2,0.21160792090812733,0.2791467830086527,100,1.916490614414215,0.0941710354198205,1,0.16203743563636366,0.2568629731125797,200.0,6.067609763145446,0.2015113950282095,1.0,0.00932170544100422,0.003054490274636091,30.0,0.20921254158020014,0.002323992265920239,1.0,0.0071801664120746955,0.0036029200864199063,50,0.2800907015800476,0.019528949363477335,1,0.004859534480090935,0.00430819519129115,100,0.6757609844207764,0.009764335395197356,1,0.004055395344007278,0.004712122802427343,200,1.571783983707428,0.11428708805564511,1
Apache_AllMeasurements,192,0.1871251652140429,0.06090718193664869,30,0.38913353681564333,0.00907819224120202,3,0.14627627031708684,0.029320902174393548,50,0.6074115753173828,0.04086592778844443,2,0.1279002366673216,0.003554415757630386,100,1.4614127159118653,0.06822685169876137,2,0.12581982696128688,0.0024446045509955074,200.0,4.505648303031921,0.09629092753649346,2.0,0.04045841874492606,0.02104121374570181,30.0,0.16889382600784297,0.010487130691565521,1.0,0.02858505842265039,0.012947910881504007,50,0.22964498996734614,0.021544216808478168,1,0.02343566459956175,0.004985344289732887,100,0.2823949813842773,0.047183521572440164,1,0.023435393435540585,0.004985435600143565,200,0.2891340494155884,0.05008762399072423,1
BDBC,2560,0.002255981731855115,0.0011171431824303,30,0.36389353275299074,0.008105054340952588,1,0.0016298143091834898,0.00040882171538899107,50,0.6707472205162048,0.03589034902880012,1,0.0012515210462915648,0.0001941815415370403,100,2.1062338829040526,0.07904461788779149,1,0.001101483592852615,9.932512407520915e-05,200.0,6.70971896648407,0.16498029312120516,1.0,0.0034604297704266054,0.0032804386852414735,30.0,0.17745270729064938,0.0035753239004615396,2.0,0.001974876692423445,0.0013837379485521998,50,0.2636286854743958,0.00607629629053112,1,0.001488998517030435,0.0013118142700792646,100,0.5071799755096436,0.042618550858637645,1,0.0012893380105420049,0.0012740520590047066,200,0.7184402108192444,0.1523583793654366,1
FFM-1000-200-0.50-SAT-1,10000,0.3992519329053726,0.027782641830489712,30,0.6261739134788513,0.054531068704680524,3,0.38582138142436073,0.022599708131010345,50,1.168670392036438,0.12448396878158194,3,0.3678072644802851,0.016679708132228382,100,2.781215989589691,0.3774325444386631,2,0.356646861880915,0.007546923976961065,200.0,7.200844657421112,0.6263624613827427,2.0,0.3410701703272551,0.036406711830580855,30.0,0.6123937964439392,0.0557780117851243,2.0,0.3173283130053479,0.031354575117335345,50,1.0728348731994628,0.08004310802765982,1,0.27533320390414495,0.020285496553422377,100,2.1333642840385436,0.19074852260334613,1,0.24501357488554026,0.020809503290682093,200,3.4607057213783263,0.4765061981551144,1
FFM-125-25-0.50-SAT-1,10000,0.41634812533886584,0.03792226066444052,30,0.8309306144714356,0.05382061525752447,3,0.3972182639574424,0.03836765833615364,50,1.2697314023971558,0.13133217138374698,3,0.3573263032076014,0.030744136217953296,100,3.295596992969513,0.26585177316937175,2,0.3210227705665337,0.02559011094778813,200.0,9.638166153430939,0.7088099708916364,2.0,0.2809045944760205,0.03149477067178159,30.0,0.4206741213798523,0.005571998571764871,1.0,0.24874971547078348,0.03009411724469551,50,0.6785403490066528,0.07407156722328603,1,0.22339280301404166,0.021587668831830414,100,1.5482141733169557,0.10111719167898459,1,0.21486961538518212,0.0055093695685147276,200,2.5332952737808228,0.42719187862525565,1
FFM-250-50-0.50-SAT-1,10000,0.41099970943492936,0.03170045385427475,30,0.6762793660163879,0.023076295910661695,3,0.3946241053698766,0.03202245537250197,50,1.0089051485061646,0.09983433859399121,2,0.3695745868785075,0.020387027640408957,100,2.9183309674263,0.5952523114052225,1,0.3496637640265557,0.004839536756840369,200.0,5.76952805519104,0.30044926874859224,1.0,0.3938483913384384,0.02234642561806255,30.0,0.5777842760086059,0.012326911641524073,2.0,0.37445778798246715,0.018676913695813896,50,0.6166067123413086,0.06204642361207996,1,0.3557331194557499,0.013055053956024286,100,1.8132939696311952,0.17540969229060754,1,0.34793179165190474,0.010305542398954152,200,1.9960755348205566,0.4688161477184695,1
FFM-500-100-0.50-SAT-1,10000,0.3577672351505857,0.03519619807976149,30,0.5288855075836182,0.04826520175043294,3,0.33308157159605933,0.036038327821400054,50,0.8270600080490113,0.06684810578549392,2,0.29009066823769863,0.024803782751632936,100,2.3144184589385985,0.1082199310717475,1,0.2663714504537677,0.007816826217675788,200.0,6.371483600139618,0.17304617935465183,1.0,nan,nan,nan,nan,nan,nan,0.3731896210353924,0.0464026915709527,50,0.6790372133255005,0.01599042132081836,3,0.3183970511597409,0.024441780086392553,100,1.3284447193145752,0.05984153543069725,2,0.2877470481193388,0.029748076331474575,200,3.065791630744934,0.4650079409307578,1
FM-500-100-0.25-SAT-1,10000,0.4330597659224381,0.03371560648671286,30,0.3977601408958435,0.05348659010655483,3,0.4182322123069541,0.02803897760536461,50,0.6254493355751037,0.01749432104061286,3,0.3872145811923117,0.019927175025773413,100,1.8039448618888856,0.11672326117664521,2,0.3452869948498838,0.019586555977781552,200.0,4.65161257982254,0.14472972384701746,1.0,0.38228980225478904,0.023467030379517587,30.0,0.24481674432754516,0.0075092635307268795,2.0,0.36275407278293986,0.023113843501698247,50,0.38988295793533323,0.003629230886926281,1,0.3367754757839128,0.012684716611068046,100,2.2573386788368226,0.12551717656968117,1,0.3250099953644477,0.005616680162634263,200,2.220366668701172,0.2753902450290965,1
FM-500-100-0.50-SAT-1,10000,0.39518810609514776,0.03284352136202374,30,0.35845805406570436,0.02324594944688703,4,0.3788559978088639,0.024183316623646384,50,0.6227089881896972,0.025822323456768166,3,0.3553861971254827,0.03437048385602567,100,1.5119075536727906,0.08301286488336596,2,0.3061177689037317,0.03524022113707375,200.0,6.424516677856445,0.24521128995684388,1.0,0.37703791725816094,0.02781240646606803,30.0,0.24216125011444087,0.006437478528696872,3.0,0.35630432369716264,0.03406850192842971,50,0.4413429856300354,0.011225210981252842,2,0.32492454830166856,0.02275274912168968,100,0.8844926357269287,0.03517628326156933,1,0.30442104284224114,0.027177267190310935,200,1.286092495918274,0.1903644729422025,1
FM-500-100-0.75-SAT-1,10000,0.36073508557612444,0.03662680743511507,30,0.3232827067375183,0.02725745033000194,3,0.3431788427013974,0.033454729199185365,50,0.5667073011398316,0.050445924478168876,3,0.30228765498540766,0.029541705685854576,100,3.3962867140769957,0.17167828791531448,1,0.2581873791132677,0.017409345995482363,200.0,4.252852582931519,0.11139244391330497,1.0,0.35183545307759995,0.03727213171311518,30.0,0.26952682733535765,0.02559719940796153,3.0,0.3171078464689742,0.034041759222429545,50,0.8465499997138977,0.06570407834328897,2,0.27178702306511154,0.02003619096017918,100,0.7155173659324646,0.047094680139775455,1,0.25606477976612646,0.013831976467590917,200,0.9738449096679688,0.16839588283875748,1
