Dataset,Rows,SPEA2-30_mean,SPEA2-30_std,SPEA2-30_budget,SPEA2-30_runtime_mean,SPEA2-30_runtime_std,SPEA2-30_tier,SPEA2-50_mean,SPEA2-50_std,SPEA2-50_budget,SPEA2-50_runtime_mean,SPEA2-50_runtime_std,SPEA2-50_tier,SPEA2-100_mean,SPEA2-100_std,SPEA2-100_budget,SPEA2-100_runtime_mean,SPEA2-100_runtime_std,SPEA2-100_tier,SPEA2-200_mean,SPEA2-200_std,SPEA2-200_budget,SPEA2-200_runtime_mean,SPEA2-200_runtime_std,SPEA2-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,0.002255981731855115,0.0011171431824303,30,0.36389353275299074,0.008105054340952588,1,0.0016298143091834898,0.00040882171538899107,50,0.6707472205162048,0.03589034902880012,1,0.0012515210462915648,0.0001941815415370403,100,2.1062338829040526,0.07904461788779149,1,0.001101483592852615,9.932512407520915e-05,200.0,6.70971896648407,0.16498029312120516,1.0,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,2,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,2,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,2.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,2.0
Health-ClosedIssues0000,10000,0.24047491647568683,0.0014520098526639897,30,0.4184200167655945,0.03267389909250329,4,0.239710212471037,0.0015203097579846727,50,0.6559542536735534,0.017888111984285655,4,0.23888088893580547,0.0012886626812039217,100,1.677912664413452,0.06288145648655802,3,0.2369826221100229,0.0021572186604180876,200.0,2.5681016087532043,0.3089224526595761,2.0,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,1,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.3577461066099232,0.04867172107272433,30,0.6290491104125977,0.054437519362582044,1,0.33741685648885605,0.04834538117478056,50,2.2443997144699095,0.037095745497725374,1,0.3007095834489842,0.04175391760052057,100,1.453367030620575,0.035795632812065034,1,0.25876019219961616,0.03611724935191609,200.0,2.9731041550636292,0.3173004212533265,1.0,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,3,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,3,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,2.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,2.0
Health-ClosedIssues0002,10000,0.36574890971741586,0.00022880711888540676,30,0.49791414737701417,0.03255188432461184,4,0.36555227608029633,0.00040391664391596795,50,0.8733197689056397,0.006031759006197159,3,0.36540361742311855,0.0004273902670714896,100,1.372188103199005,0.23373750655874623,3,0.36507544372629647,0.000538968067801077,200.0,2.521312582492828,0.37429524823778354,2.0,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,1,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,1,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,1.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,1.0
Health-ClosedIssues0003,10000,0.4850949626558555,0.10856779671275678,30,0.5313317775726318,0.03076658461956146,3,0.46097462546590984,0.11502557693010897,50,0.7938970923423767,0.1063272952322243,3,0.4013290065629194,0.11860238034940482,100,1.6375934720039367,0.16660628341814848,2,0.354482275225854,0.10151635905811615,200.0,3.788138484954834,0.26925617650246914,2.0,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,1,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,1,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.5876087249201083,0.0310685246402698,30,0.5352146744728088,0.02949538129101995,3,0.5790654968486995,0.028350218361302817,50,0.8081219911575317,0.10956028414054884,3,0.5616053358429385,0.021034501422845762,100,1.6539684176445006,0.17787792130581329,2,0.5445682257047265,0.015043023958145945,200.0,4.118770742416382,0.3775279098391766,2.0,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,1,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,1,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.4282606309612974,0.0027527635920085634,30,0.6273374438285828,0.043480654785628084,3,0.4276541905913792,0.002735583626426669,50,1.2225724577903747,0.010301697960512087,3,0.4221221602324164,0.010910733430147401,100,1.6662638545036317,0.1732602456722099,2,0.4187227909211398,0.011600714978161043,200.0,3.86499764919281,0.258171370918078,2.0,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,1,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,1,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.5688747509308671,0.03279253123563739,30,0.5692942380905152,0.03586955581218813,3,0.5582717207844997,0.023831084000520357,50,1.025911271572113,0.059117384083589394,3,0.5287743799938583,0.03730174671519318,100,1.6506444811820984,0.17077282816270933,2,0.4980529977310299,0.04420689793216065,200.0,3.784537208080292,0.254820323072144,2.0,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,1,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,1,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.5196340067032178,0.05158951867504346,30,0.5708284258842469,0.037574817870685936,3,0.5059868029052188,0.0463882423468707,50,0.8827678322792053,0.11383549542912084,3,0.4780071086953542,0.039119014705123904,100,1.8114818692207337,0.2420681714626349,2,0.44544159932130223,0.01667490792925468,200.0,5.110261523723603,0.32755448576740287,1.0,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,3,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,1,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,1.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,1.0
Health-ClosedIssues0008,10000,0.34454118252004556,0.011373581925684318,30,0.5559445738792419,0.035101524959706996,3,0.3394945162464962,0.009067644057475012,50,1.2072187423706056,0.04024954338107375,3,0.3328312367801059,0.004461753282914461,100,1.9833566188812255,0.044095980245149456,2,0.3232542556995409,0.010987738672953365,200.0,4.101150691509247,0.33015079337912095,2.0,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,1,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
