Dataset,Rows,GPEI-25_mean,GPEI-25_std,GPEI-25_budget,GPEI-25_runtime_mean,GPEI-25_runtime_std,GPEI-25_tier,GPEI-50_mean,GPEI-50_std,GPEI-50_budget,GPEI-50_runtime_mean,GPEI-50_runtime_std,GPEI-50_tier,GPEI-100_mean,GPEI-100_std,GPEI-100_budget,GPEI-100_runtime_mean,GPEI-100_runtime_std,GPEI-100_tier,GPEI-200_mean,GPEI-200_std,GPEI-200_budget,GPEI-200_runtime_mean,GPEI-200_runtime_std,GPEI-200_tier,HEBO-25_mean,HEBO-25_std,HEBO-25_budget,HEBO-25_runtime_mean,HEBO-25_runtime_std,HEBO-25_tier,HEBO-50_mean,HEBO-50_std,HEBO-50_budget,HEBO-50_runtime_mean,HEBO-50_runtime_std,HEBO-50_tier,HEBO-100_mean,HEBO-100_std,HEBO-100_budget,HEBO-100_runtime_mean,HEBO-100_runtime_std,HEBO-100_tier,HILL-25_mean,HILL-25_std,HILL-25_budget,HILL-25_runtime_mean,HILL-25_runtime_std,HILL-25_tier,HILL-50_mean,HILL-50_std,HILL-50_budget,HILL-50_runtime_mean,HILL-50_runtime_std,HILL-50_tier,HILL-100_mean,HILL-100_std,HILL-100_budget,HILL-100_runtime_mean,HILL-100_runtime_std,HILL-100_tier,HILL-200_mean,HILL-200_std,HILL-200_budget,HILL-200_runtime_mean,HILL-200_runtime_std,HILL-200_tier,ILS-25_mean,ILS-25_std,ILS-25_budget,ILS-25_runtime_mean,ILS-25_runtime_std,ILS-25_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier,MOSMAC-25_mean,MOSMAC-25_std,MOSMAC-25_budget,MOSMAC-25_runtime_mean,MOSMAC-25_runtime_std,MOSMAC-25_tier,MOSMAC-50_mean,MOSMAC-50_std,MOSMAC-50_budget,MOSMAC-50_runtime_mean,MOSMAC-50_runtime_std,MOSMAC-50_tier,MOSMAC-100_mean,MOSMAC-100_std,MOSMAC-100_budget,MOSMAC-100_runtime_mean,MOSMAC-100_runtime_std,MOSMAC-100_tier,MOSMAC-200_mean,MOSMAC-200_std,MOSMAC-200_budget,MOSMAC-200_runtime_mean,MOSMAC-200_runtime_std,MOSMAC-200_tier,SA-25_mean,SA-25_std,SA-25_budget,SA-25_runtime_mean,SA-25_runtime_std,SA-25_tier,SA-50_mean,SA-50_std,SA-50_budget,SA-50_runtime_mean,SA-50_runtime_std,SA-50_tier,SA-100_mean,SA-100_std,SA-100_budget,SA-100_runtime_mean,SA-100_runtime_std,SA-100_tier,SA-200_mean,SA-200_std,SA-200_budget,SA-200_runtime_mean,SA-200_runtime_std,SA-200_tier,TS-25_mean,TS-25_std,TS-25_budget,TS-25_runtime_mean,TS-25_runtime_std,TS-25_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier
7z,68640,0.47393844400113994,0.3044450648087505,25,3.696991729736328,4.209756708054736,1,0.32207319504198834,0.30981392754179254,50.0,9.275996243953704,3.753518311063307,1.0,0.21434648609276113,0.2781918526758359,100.0,22.5472763299942,3.7254949226410234,1.0,0.05949059680069033,0.11524960033214617,200.0,61.95171594619751,6.36912900431544,1.0,0.4009418185814583,0.2992874493751463,25,37.503101873397824,7.530937582609055,1,0.20813174898222586,0.21640790850721442,50.0,113.86545147895814,6.914014709507883,1.0,nan,nan,nan,nan,nan,nan,0.9669226425157156,0.0,25,0.011899983882904006,0.0005583746581166881,2,0.8937123761412937,0.0,50,0.024167311191558783,0.0007956386564240989,2,0.8903197168644809,2.278129578503827e-16,100,0.053966701030731146,0.002651296607059411,2,0.3564104894116774,1.1390647892519134e-16,200,0.07452088594436643,0.002061560648391705,1,0.8398963362039229,0.1710750214064857,25,0.00584656000137324,0.001603919391036294,2,0.827560706049933,0.16685455629596052,50,0.00821936130523677,0.0024507177821141437,2,0.8275308519804309,0.16686580773830878,100,0.013204753398895208,0.0034683328008798253,2,0.8275308519804309,0.16686580773830878,200,0.016666388511657658,0.00536601960768547,2,0.005554141484977055,0.005853289295667617,25,2.4482962846755982,0.09817194749595959,1,0.00419096423173223,0.0052959948003353085,50,5.191750848293305,0.17190771029151883,1,0.002304115674885096,0.003921227147222699,100,8.845333623886109,1.669217546713135,1,0.00033871880130791006,0.00036668359224435753,200.0,18.950529432296754,6.199137290452449,1.0,0.8415641676947091,0.16675678468177735,25,0.007091736793518021,0.0009124567934544504,2,0.8414684681555797,0.16690725675630005,50.0,0.01578079462051387,0.001448005186845912,2.0,0.8414631158323622,0.16690975150612603,100,0.02845871448516841,0.0023088500403482186,2,0.8414631158323622,0.16690975150612603,200,0.055016291141509965,0.0035836897517740095,2,0.8303222669491424,0.1678064690789067,25,0.00627529621124263,0.001015703729457827,2,0.8026104112915464,0.19441940347696193,50,0.007929182052612265,0.0014957970583840546,2,0.7907036092737443,0.18898952322108795,100,0.01614458560943598,0.004000884375622144,2,0.7894060871853011,0.19122889445748614,200,0.023042154312133748,0.00802210437545266,2
Apache_AllMeasurements,192,0.0,0.0,25,2.329971742630005,4.6135614844314174,1,0.0,0.0,50.0,5.231151008605957,4.808398725621635,1.0,0.0,0.0,100.0,12.228769171237946,4.55591608766031,1.0,0.0,0.0,200.0,32.416121649742124,4.41529086868899,1.0,0.0958333333333333,0.0752918298962298,25,49.61870390176773,7.616688387967295,1,0.062499999999999986,0.09316949906249122,50.0,117.59907919168472,11.196101841516056,1.0,nan,nan,nan,nan,nan,nan,0.1166666666666667,0.0,25,0.011188852787017766,0.00033489960676733185,1,0.1166666666666667,0.0,50,0.020163321495056112,0.0010646071372560268,1,0.1166666666666667,0.0,100,0.0377082467079162,0.0016322314733207182,1,0.0,0.0,200,0.04919705390930172,0.0012205185410464167,1,0.3258333333333333,0.3345799059272574,25,0.00544186830520625,0.0004523197435782181,2,0.31833333333333336,0.3396721845875169,50,0.010655820369720414,0.001292740308075777,2,0.31416666666666665,0.34319938623699536,100,0.010863780975341736,0.001201857153009719,2,0.31416666666666665,0.34319938623699536,200,0.018040812015533397,0.0009486170595948125,2,0.017500000000000012,0.020572934016204088,25,2.7391857147216796,0.6362954515468213,1,0.004166666666666675,0.00740436097198867,50,7.4356524586677555,1.1977126357180166,1,0.00166666666666667,0.005129891760425781,100,17.6911687374115,1.9762577436067572,1,0.0,0.0,200.0,58.27412155866623,13.89115825488933,1.0,0.37666666666666665,0.3234228488856138,25,0.0078232884407043,0.00045905605176752484,2,0.35,0.3204072700695949,50.0,0.016634643077850293,0.0010021107214476712,2.0,0.31416666666666665,0.34319938623699536,100,0.02545505762100216,0.0015101051964374885,2,0.31416666666666665,0.34319938623699536,200,0.0379373431205749,0.0010018847834291323,2,0.1275,0.18001583750988678,25,0.0067196488380431695,0.0005410306806414632,1,0.006666666666666665,0.02981423969999719,50,0.011101484298705996,0.0007385502198588963,1,0.0,0.0,100,0.015748941898345897,0.001886015512441102,1,0.0,0.0,200,0.02243039608001704,0.0022335837604011434,1
BDBC,2560,0.12527272704995301,0.2512830660537363,25,4.255508089065552,4.212099941896749,1,0.029357039999677197,0.10225921833936699,50.0,12.241140115261079,4.08313521616164,1.0,0.027108388756999686,0.1025686998085679,100.0,32.66498110294342,4.684198256498868,1.0,0.0036188637594132406,0.010195721720156996,200.0,86.09619626998901,4.920689891671598,1.0,0.07398972654957223,0.1715615740355422,25,27.744949913024904,7.072917134671744,1,0.028198049081597835,0.11013163223296901,50.0,103.55591243505478,10.589575273494315,1.0,0.05219263675214927,0.14533949283982556,100.0,115.29872269630432,8.198822671451271,1.0,0.9889342443666915,1.1390647892519134e-16,25,0.012085986137390094,0.0016814175510952223,2,0.9851227192547503,1.1390647892519134e-16,50,0.024627864360809278,0.0014862783841812764,2,0.0004237717821586,0.0,100,0.0496557235717773,0.0020461544332438307,1,0.0004237717821586,0.0,200,0.06715030670166013,0.02935816445264008,1,0.8222691910363347,0.26279377676486027,25,0.004996037483215274,0.0012172646672844313,2,0.8222341135214757,0.2627952190265553,50,0.011195194721221874,0.0016991236298218215,2,0.8222341135214757,0.2627952190265553,100,0.01625510454177852,0.0015115348520885201,2,0.8222341135214757,0.2627952190265553,200,0.02260544300079341,0.0016383506546411263,2,0.001240288445613162,0.0013984384955044288,25,2.9601481437683104,0.24575844113327772,1,0.0010170470153054092,0.0012314787701491567,50,4.946502947807312,0.7917985374222624,1,0.00043904321148865695,0.000788002932761719,100,7.591821670532227,3.8982787517405098,1,0.00040465362618254824,0.0006336927404448012,200.0,8.491646683216095,8.47803484638377,1.0,0.8222999988309445,0.2627939613216112,25,0.00842150449752803,0.0003883690965040173,2,0.8222804819213648,0.26278466761105906,50.0,0.019978153705596868,0.0011955906286626869,2.0,0.8222341135214757,0.2627952190265553,100,0.03475986719131466,0.002524853657345313,2,0.8222341135214757,0.2627952190265553,200,0.06315293312072749,0.0037851767728701515,2,0.2077398705402284,0.2334398528244785,25,0.00539780855178827,0.0010232069024007525,1,0.06931680353316333,0.1679185786162067,50,0.012389624118804881,0.0005761392747957099,1,0.00015431478904963497,0.00021757055852119093,100,0.027506983280181842,0.0028240399690473597,1,0.0,0.0,200,0.0512301087379455,0.003907869954966095,1
FFM-1000-200-0.50-SAT-1,10000,0.3660305471798105,0.012904549291232524,25,2.098828685283661,4.211744121416986,1,0.3554619609580057,0.006938735540174101,50.0,4.2788492918014525,4.460129030926461,1.0,0.35113002167781227,5.695323946259567e-17,100.0,9.175856745243072,4.269719655059723,1.0,0.35113002167781227,5.695323946259567e-17,200.0,22.418484020233155,4.690807290951076,1.0,0.4008064742603084,0.025964919688433712,25,17.272248435020447,7.706180427220184,2,0.37226031056987463,0.016413590332742027,50.0,53.21509054899216,8.217583552307458,1.0,0.36745944062807473,0.012241615258350935,100.0,125.97823110818862,9.0804505838513,1.0,0.40409021887648644,5.695323946259567e-17,25,0.09239151477813716,0.00478399146446036,2,0.40409021887648644,5.695323946259567e-17,50,0.1854595065116882,0.018184311046381213,2,0.40409021887648644,5.695323946259567e-17,100,0.34778705835342405,0.025362631856295337,2,0.4023990919086379,0.0,200,0.756496262550354,0.05642393298462267,2,0.3988023112000387,0.027757562742448005,25,0.11662646532058711,0.019131247390076628,2,0.3852240542391027,0.027633930538159386,50,0.2021876454353332,0.031121981782899415,1,0.38210765704815,0.025301722445765822,100,0.35838171243667605,0.057987409688109226,1,0.3807667149569346,0.026227468356334542,200,0.5718191742897034,0.09496612011380173,1,0.41631939232573084,0.024029775036734712,25,18.47946364879608,2.927420200144068,2,0.40826135929339913,0.021723796810440205,50,29.17417812347412,12.839092055771408,2,0.400519630495875,0.021539554075803716,100,46.81542407274246,29.619843575334194,2,0.3969662248596711,0.017186668491519147,200.0,45.26151369810104,16.1774933366646,2.0,0.4356223765875722,0.05664341684533082,25,0.1637019515037536,0.01965561388123124,2,0.43270090935801003,0.0552774759359179,50.0,0.29401174783706663,0.026767380985391796,2.0,0.4301682939723837,0.05229649142480277,100,0.5724401831626892,0.06321031008812455,2,0.4301682939723837,0.05229649142480277,200,1.0178664088249207,0.08791356211317626,2,0.40996003452802166,0.03413151801717568,25,0.10840491056442256,0.018993554795164354,2,0.3819491315432401,0.023977869783330257,50,0.18990597724914546,0.029497270411098942,1,0.37041193769720315,0.01836248508341191,100,0.35423927307128905,0.052376905544503534,1,0.3636237762995219,0.01789164548064818,200,0.6172759890556335,0.08015097541574341,1
FFM-125-25-0.50-SAT-1,10000,0.35854565803941363,0.043299368349980064,25,7.826733827590942,2.3996184245274574,1,0.32701086188523704,0.038991856277929275,50.0,7.772285830974579,3.8362990559272663,1.0,0.3147341749999475,0.03251199009874553,100.0,19.82100204229355,4.065876782971287,1.0,0.30133589571875896,0.023859600313081163,200.0,162.00804562568663,10.633185766152849,1.0,0.36924869230371465,0.02752617914530747,25,1.2642873764038085,5.203947509992854,2,0.3164221496872758,0.02634856288118623,50.0,34.218516409397125,8.552202677238675,1.0,0.3095381951118455,0.02511162689541279,100.0,113.99588352441788,6.073963988746053,1.0,0.32833642396068285,5.695323946259567e-17,25,0.026090645790100047,0.0007436275458038551,1,0.32833642396068285,5.695323946259567e-17,50,0.06785435676574704,0.0016319434115676832,1,0.2909723352123343,0.0,100,0.09405409097671505,0.00176437415827814,1,0.2909723352123343,0.0,200,0.16376985311508177,0.003934066733817361,1,0.4175674575264714,0.060430461498826485,25,0.01811678409576411,0.0030841950228576317,3,0.41522572187386136,0.05820266100744488,50,0.030059242248535116,0.00451447547755991,3,0.4102991015750533,0.056300499496414316,100,0.049901986122131294,0.007419306988949349,3,0.4094313088321061,0.056783926527667374,200,0.07537139654159543,0.010704151185788494,3,0.3454396478394492,0.03690321607884548,25,4.019138956069947,0.5125457381612021,1,0.31965557260296873,0.030715691934220187,50,7.74618239402771,0.5827570452822037,1,0.30646175628334865,0.018700325912526072,100,17.98547399044037,0.7018183223936029,1,0.30208642539297664,0.02725181479112169,200.0,44.94926905632019,1.429044793403948,1.0,0.424948078772589,0.06324881223977476,25,0.027209913730621288,0.004212912416391779,3,0.4179332638693877,0.05875652054198423,50.0,0.054338228702545135,0.0070318962126883254,3.0,0.41551476351396693,0.055387276576728144,100,0.0980902791023254,0.01206295993129677,3,0.41551476351396693,0.055387276576728144,200,0.18581742048263544,0.022936610565800934,3,0.3992956670520484,0.05661650456338489,25,0.018913686275482136,0.001882763289345433,3,0.3592704263971607,0.05219236712740784,50,0.032457399368286094,0.0031611884065345986,1,0.32766859792621394,0.042774208798262256,100,0.0603349924087524,0.004670335328238394,1,0.28758034113917275,0.013380791712111676,200,0.11541805267333982,0.012212103459617304,1
FFM-250-50-0.50-SAT-1,10000,0.3567418658146444,0.013851457734879889,25,1.8996466279029847,3.3096578903683356,1,0.34367885178742325,0.005378974637504201,50.0,4.039045894145966,3.3111808568270464,1.0,0.3418585060970254,0.0023204538078233318,100.0,15.327159857749939,4.285157808850513,1.0,0.3414815563295007,0.0016857706085760093,200.0,28.658644115924837,3.205653746884483,1.0,0.3829958738256993,0.03005790905347986,25,15.705189228057861,8.256626201007535,1,0.36344133765361336,0.021586534250324092,50.0,50.88380084037781,8.508621007742152,1.0,0.36009234516996613,0.0218801141758487,100.0,120.48533416986466,9.203294976925685,1.0,0.4386927014634546,0.0,25,0.05549621582031246,0.0007803194088088222,3,0.4100301415224428,0.0,50,0.10344099998474117,0.006361145637024522,2,0.4100301415224428,0.0,100,0.18358176946640012,0.010126688798504879,2,0.4028351634633391,0.0,200,0.23927450180053705,0.014576885820595973,2,0.43076475994609026,0.031434600217264866,25,0.03207495212554927,0.004252977705351394,3,0.4206133539135471,0.029445787002862624,50,0.07955367565155028,0.011005363298871342,2,0.41647468126663034,0.025969600673487588,100,0.09643813371658323,0.019888557637794336,2,0.4143662373428841,0.02523279438146671,200,0.1731521368026733,0.025111746725125502,2,0.3980254218786333,0.02214025679834678,25,5.3058424353599545,0.6313814442246173,2,0.3671188520675198,0.020243491088054056,50,12.673558664321899,1.8073265268562626,1,0.3705474632792124,0.02245786525548164,100,10.267416727542876,6.625000172537271,1,0.3611468269864989,0.016159165107473512,200.0,19.767658746242525,17.32607574103769,1.0,0.4611301625367382,0.05121300589316868,25,0.04610494375228878,0.004812064204480441,3,0.44822134421429516,0.047568789947852096,50.0,0.08490502834320066,0.008277215105020403,3.0,0.4458991631440644,0.04798316162497451,100,0.15633373260498043,0.019700114870725226,3,0.4458991631440644,0.04798316162497451,200,0.29269330501556395,0.03538077048131069,3,0.43472883968519105,0.036684673732429174,25,0.03658623695373529,0.005151504443941366,3,0.40388362452436943,0.023832821314537008,50,0.058204340934753365,0.008992690902532264,2,0.3928169534284993,0.023559606299058705,100,0.14776009321212763,0.017415786021051566,1,0.3920586433599874,0.02333472192345226,200,0.2522258281707764,0.03512713652040539,1
FFM-500-100-0.50-SAT-1,10000,0.3293090632172827,0.034863673496027404,25,2.3551340460777284,3.4759552272222,1,0.29723778067627427,0.03192315488967381,50.0,6.051377940177917,4.184280269626722,1.0,0.27745773325783496,0.025549803828212925,100.0,14.80006421804428,3.6924114792664904,1.0,0.2656612781270272,0.011975039965801635,200.0,34.14548144340515,4.6853621323658015,1.0,0.3455462377033924,0.03992069230159465,25,10.40236530303955,7.634603371272066,1,0.30920910412614533,0.030427127735389987,50.0,57.0470309138298,7.665256738644808,1.0,0.29875665564556525,0.031376363200542344,100.0,118.4298882484436,8.65311144448253,1.0,0.47653798155831045,5.695323946259567e-17,25,0.10459879636764521,0.004427412113656705,3,0.4144875646873628,0.0,50,0.20223323106765742,0.008129564425611958,2,0.4022131946906343,5.695323946259567e-17,100,0.2969233751296997,0.020638280809211297,2,0.27112207702442415,5.695323946259567e-17,200,0.6369188070297241,0.0035594609365942925,1,0.4285044076323473,0.06624748956131203,25,0.05844049453735347,0.009184871524967548,2,0.4209567511057527,0.0648309695040803,50,0.10585342645645138,0.020666824230896774,2,0.4067378053107615,0.06184735399889504,100,0.19746835231781004,0.036648764430683094,2,0.4050405915678203,0.0617525878370814,200,0.27503966093063353,0.04960949074429075,2,0.34868065435191525,0.04058716443815758,25,10.443353199958802,0.5524907977574524,1,0.31282012946377097,0.014091550987614885,50,19.89191029071808,2.1916391154845063,1,0.30776720366231985,0.021234261805297236,100,33.74161329269409,16.63365366212452,1,0.30303878814558516,0.02371117762552837,200.0,63.10975649356842,54.43780776117533,1.0,0.46570553960192396,0.06589116054762405,25,0.09754023551940913,0.012917242901757395,3,0.45776926104185006,0.06657942830479377,50.0,0.20497560501098627,0.03324938956613177,3.0,0.44210795968803007,0.06665910516141882,100,0.3327856421470642,0.04482878264396749,3,0.44114156821936124,0.06726321303049004,200,0.6489605665206909,0.11463844041814827,3,0.40941732849177537,0.058932006135630974,25,0.06673704385757442,0.008920960653523883,2,0.36499310824855385,0.04709036256612947,50,0.14978876113891598,0.012081250026488969,1,0.3563684742572294,0.042683979161439754,100,0.21792658567428586,0.01863829751752318,1,0.35069133584418266,0.0401116322847024,200,0.37578593492507933,0.041503622196686116,1
FM-500-100-0.25-SAT-1,10000,0.3374462918566989,0.023950561598740535,25,2.6802161693573,4.227095824794952,1,0.3244190779515107,0.006817784849842905,50.0,6.016263365745544,3.895633564834016,1.0,0.3225455210178285,0.005405133389221967,100.0,16.966087317466737,3.829577346163003,1.0,0.3204782034645765,0.004565638548255481,200.0,37.161419332027435,3.666280441857354,1.0,0.37343852876864353,0.02883789124691467,25,7.195357894897461,7.968019248819258,1,0.34425891423607047,0.02288682335243357,50.0,45.62904095649719,8.153521028004025,1.0,nan,nan,nan,nan,nan,nan,0.39903983400756776,5.695323946259567e-17,25,0.0764281868934631,0.003113701878464981,2,0.39903983400756776,5.695323946259567e-17,50,0.16277047395706173,0.0043918606166758025,2,0.38440387283960775,5.695323946259567e-17,100,0.24842489957809444,0.008861403451306898,2,0.36282453030655254,5.695323946259567e-17,200,0.42528709173202517,0.03724058851746442,1,0.41210509000596873,0.04901875030174389,25,0.07170976400375363,0.010663766868501567,2,0.40989324705464175,0.04838542157974841,50,0.12736328840255734,0.02485960692291409,2,0.4090709933922727,0.04766593480283066,100,0.15322949886322018,0.030245020976218884,2,0.405659927786784,0.04813162191451795,200,0.23429948091506958,0.04632846579625051,2,0.4014627126802742,0.03231032303843481,25,10.269857215881348,0.5770582293921609,2,0.36611629049996386,0.018969232611526173,50,20.797316002845765,0.9785285847780707,1,0.3618888476383196,0.025670634687163213,100,43.8592090010643,16.56017196369653,1,0.34828548209683713,0.017241697125960343,200.0,55.035010361671446,26.4819733256501,1.0,0.4373053139345875,0.06482096631718705,25,0.0944388151168823,0.016851788938683703,2,0.4227718671632572,0.06251688429814813,50.0,0.23656905889511104,0.03368010746412901,2.0,0.4186385998988654,0.05675258519307594,100,0.30228768587112426,0.04107154689370407,2,0.4186385998988654,0.05675258519307594,200,0.6662801742553711,0.08872008030320527,2,0.4159288305678692,0.056113939856479264,25,0.05454456806182858,0.00830819788363825,2,0.3964875737300921,0.04375224972980734,50,0.09621858596801754,0.014097401454419725,2,0.39460859845373736,0.04202542815590079,100,0.18213018178939816,0.02653100313671456,2,0.39460859845373736,0.04202542815590079,200,0.30522726774215697,0.055772332142515584,2
FM-500-100-0.50-SAT-1,10000,0.33252310855820316,0.03485658761154822,25,4.838368737697602,1.8807432321526256,1,0.3126566176628147,0.025506845571329848,50.0,11.132106339931488,4.6231589090331475,1.0,0.3018391312371923,0.025184408840996923,100.0,14.050209724903107,3.75575373263996,1.0,0.2970281336987061,0.01970508480753945,200.0,69.81585379838944,7.999052786340893,1.0,0.3597507512386205,0.039579705106546834,25,9.315634870529175,7.993881728601021,2,0.3155836550909679,0.030726359836672455,50.0,45.913468182086945,7.017551242350578,1.0,0.30778446698250744,0.022655386593216954,100.0,119.96414641141891,9.123332689901023,1.0,0.42271876757790744,5.695323946259567e-17,25,0.07066054344177242,0.006493357077866824,4,0.42271876757790744,5.695323946259567e-17,50,0.10696867704391477,0.0061003943940143735,4,0.41151454128265613,5.695323946259567e-17,100,0.2538953423500061,0.0038526510773313665,3,0.35078187152528073,5.695323946259567e-17,200,0.4016577243804932,0.027248257937769218,1,0.38983950661415984,0.07686328594695928,25,0.0634282350540161,0.01102328283556773,2,0.3820155076724915,0.07453833703234977,50,0.10925005674362179,0.02010554171057104,2,0.38045182748731765,0.07466138121149404,100,0.25270148515701296,0.04803026646959594,2,0.37827844952471246,0.07215207817258165,200,0.371563184261322,0.07128517320105249,2,0.3504883518303008,0.03865196632156112,25,17.86085811853409,0.1892224480993648,1,0.31352658162419883,0.03632315629100319,50,36.78799085617065,2.2190579415724714,1,0.3022139649723464,0.03230481163156512,100,45.51287801265717,14.002727839301881,1,nan,nan,nan,nan,nan,nan,0.3997356327307341,0.07236618728425959,25,0.11987770795822142,0.013619833234192854,3,0.3804063161278034,0.05273125700462902,50.0,0.16165226697921747,0.020501419381059337,2.0,0.37748509541786757,0.05326047223148409,100,0.39740062952041627,0.036327990062383804,2,0.37748509541786757,0.05326047223148409,200,0.5772975206375122,0.06854415649044888,2,0.3750336552325296,0.07131067461547247,25,0.0932871580123901,0.012532896522941499,2,0.3297068443338366,0.052359257036931554,50,0.10003473758697505,0.011108827847522876,1,0.3238038221754805,0.04725344292339182,100,0.20847972631454464,0.026557047530949056,1,0.3238038221754805,0.04725344292339182,200,0.32320958375930786,0.03709950903804011,1
FM-500-100-0.75-SAT-1,10000,0.2584785599317323,0.01886855966505021,25,4.30098956823349,2.6815303787438176,1,0.2480488797650815,0.011670120210920693,50.0,11.294139647483826,2.560572671545147,1.0,0.24171316485355812,2.8476619731297836e-17,100.0,28.84964511394501,2.357393264158557,1.0,0.24171316485355812,2.8476619731297836e-17,200.0,38.380652928352355,4.8463326810844425,1.0,0.3269164731924529,0.048654677618145764,25,16.50119172334671,8.161834079031719,1,0.28820008956969734,0.024340953870638907,50.0,94.62296515703201,7.799115433511647,1.0,0.27895518470535247,0.02932269885283751,100.0,120.61353973150253,7.802995492902651,1.0,0.3690151432371954,0.0,25,0.06804181337356563,0.004451320743608734,2,0.34011085825233767,5.695323946259567e-17,50,0.12476826906204219,0.011722539880127038,2,0.24171316485355812,2.8476619731297836e-17,100,0.25797531604766843,0.01921227820240041,1,0.24171316485355812,2.8476619731297836e-17,200,0.5007917284965515,0.024424741586813497,1,0.3819515630148583,0.055444358970330454,25,0.06565178632736202,0.015430138715659994,2,0.36599264827620676,0.05801700188115929,50,0.1210823059082031,0.024413322078257416,2,0.3604179245084644,0.06506595340504821,100,0.2155047535896301,0.054306384773776306,2,0.3604179245084644,0.06506595340504821,200,0.33079640865325927,0.0784983010593155,2,0.32535828825174934,0.035586130797897464,25,10.956574749946594,0.6885088176476537,1,0.3072485070979653,0.03179134735377702,50,28.052002477645875,8.355372209401924,1,0.3229727421544354,0.03475379724596215,100,25.05433762073517,10.52922521866085,1,0.3091399268740608,0.029234599300552253,200.0,54.875171506404875,35.57936063327085,1.0,0.44137335333676353,0.09566417137411629,25,0.08197116851806638,0.00966801496555926,3,0.43424960137359153,0.09337924510921071,50.0,0.20433398485183712,0.025498160039464104,3.0,0.4314696195546147,0.09371272091142006,100,0.36870168447494506,0.0305534589681704,3,0.4314696195546147,0.09371272091142006,200,0.5688892483711243,0.060944370850959495,3,0.3864810004006435,0.07239918769941847,25,0.07870390415191646,0.012430535018699049,2,0.34027680742507926,0.07108088468784701,50,0.12385181188583369,0.02751212369868812,2,0.32336310639864546,0.06276962075844357,100,0.19881079196929927,0.03500048526582629,1,0.32336310639864546,0.06276962075844357,200,0.3398607850074768,0.06775815579294805,1
