Dataset,Rows,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,0.0034604297704266054,0.0032804386852414735,30,0.17745270729064938,0.0035753239004615396,2,0.001974876692423445,0.0013837379485521998,50,0.2636286854743958,0.00607629629053112,1,0.001488998517030435,0.0013118142700792646,100,0.5071799755096436,0.042618550858637645,1,0.0012893380105420049,0.0012740520590047066,200,0.7184402108192444,0.1523583793654366,1,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,2,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,2,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,2.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,2.0
Health-ClosedIssues0000,10000,0.22556502347604193,0.08023777707800607,30,0.5184089183807373,0.029287701218812367,2,0.17299808937074157,0.03838602417166189,50,0.5221880316734314,0.005115050477079347,1,0.15699591308852015,0.024152919506827075,100,1.0121297478675841,0.024935399549324895,1,0.14612666430616333,0.015732388157624348,200,3.3667085766792297,0.18311752024398792,1,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,1,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.453420436497033,0.016544282016828952,30,0.3373239040374756,0.004040373544887378,2,0.4458168801921568,0.015151076357149332,50,0.7533977270126343,0.059637204405229696,2,0.4392779319355327,0.01339895284121733,100,1.0627246260643006,0.017477053865193878,1,0.4305160996804262,0.01840006707095746,200,1.5028490543365478,0.25513314459460174,1,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,2,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,2,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,1.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,1.0
Health-ClosedIssues0002,10000,0.17265536049491842,0.02474689741133235,30,0.2972469687461853,0.0024348405235026125,3,0.15978686497298272,0.038829708381962806,50,0.5053765416145325,0.0062564238203547074,2,0.14339357767327096,0.04311858775553809,100,1.8240296006202699,0.09186029797139421,1,0.12602316573041103,0.04122530103087639,200,1.3716166019439697,0.2760169486434337,1,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,3,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,3,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,2.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,2.0
Health-ClosedIssues0003,10000,0.24566410596909477,0.039330170033363636,30,0.43576819896698,0.005937535536419998,3,0.20932098874532595,0.03766165327403081,50,0.7810497641563415,0.01397080045567687,2,0.17897943515021192,0.031520272347887256,100,2.05495525598526,0.045280006141352726,1,0.15606705342527433,0.02411322954491311,200,3.1629761457443237,0.3058569064991546,1,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,2,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,1,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.2856327511295836,0.011414049999480497,30,0.40952301025390625,0.0032266920662000586,3,0.27863651473916623,0.00986136791288884,50,0.6756913542747498,0.005052813987630507,2,0.2698094835239026,0.00568574221948364,100,1.0446866154670715,0.030098136271516376,1,0.26523597605719684,0.00587869998816972,200,3.1689626932144166,0.28187074141485596,1,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,3,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,2,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.23944208373742876,0.005437491050193628,30,0.44946794509887694,0.0048472274393941495,2,0.23799126255497516,0.00551426672174069,50,0.8567539572715759,0.069866015927989,2,0.2343351977492397,0.0036237621499943698,100,1.8791954159736632,0.03784413467601566,1,0.22981137482456723,0.003721405350478682,200,2.255636990070343,0.2019357411063879,1,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,2,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,2,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.12469462988795235,0.010706877053017063,30,0.44169405698776243,0.0027208160982279505,3,0.10992827087983748,0.015145902394833616,50,0.6523247241973877,0.08696644229043256,2,0.09459948612019248,0.01193230070795221,100,1.212043583393097,0.15757046957356602,1,0.08478223387317477,0.010553465849906416,200,4.0426781415939335,0.11685970509529041,1,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,3,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,2,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.46793330379285375,0.08503887486974047,30,0.44279606342315675,0.003984183679084816,2,0.4084123589335558,0.06734153422312933,50,0.7614056587219238,0.01578352371332779,1,0.36906360685485756,0.06634741636579133,100,1.6269268989562988,0.14860453601169954,1,0.3339630246373911,0.038456269523396154,200,1.8660770416259767,0.3631099365571243,1,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,3,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,2,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,2.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,2.0
Health-ClosedIssues0008,10000,0.3120549402279571,0.05450608496398433,30,0.47156769037246704,0.009602673788040701,3,0.27911304350272004,0.043046839501486314,50,0.7567784667015076,0.05351827322983563,2,0.2621909077123603,0.033983610888992065,100,1.2060765862464904,0.1317693830969186,1,0.2487836681191284,0.024374979308570036,200,2.9465630531311033,0.22865129543090199,1,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,2,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
