Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,0.00256743356146715,0.0015525109782191183,30,4.5257133603096005,0.29533133512312926,2,0.001730071481399035,0.0012626527898052852,50,8.112392902374268,0.9140695678172972,1,0.00114457286108167,0.001008791392301129,100,22.430172824859618,2.5707474588929813,1,0.00019606980547873,2.0953529998951774e-05,200,52.77992069721222,4.3698318427319025,1,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,2,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,2,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,2.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,2.0
Health-ClosedIssues0000,10000,0.17058903737783396,0.022393951131005823,30,3.080491065979004,0.42329176288063913,2,0.1544236350170508,0.0120891055764696,50,6.540978860855103,0.9836960540752222,1,0.1454312608262588,0.01199100625243599,100,15.047409391403198,2.302858858551674,1,0.14397188389152177,0.011751897617176066,200,25.225161409378053,6.518521644042359,1,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,2,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.45305544290498884,0.012765567060440195,30,3.790018630027771,0.32742616784006107,3,0.4427206698134586,0.022960166969776312,50,6.626630711555481,0.5457850717709373,2,0.44055841426453,0.02399285060124318,100,15.215540325641632,2.319858256663752,2,0.4189916478970007,0.03394167847529032,200,28.50409542322159,8.000234505239376,1,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,3,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,2,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,1.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,1.0
Health-ClosedIssues0002,10000,0.17492800999836178,0.02366478962927079,30,3.852646327018738,0.5269939643371016,3,0.16680833306274057,0.03271013717413874,50,5.943232810497284,1.0160976166051585,2,0.11625902315086192,0.0514909672908649,100,16.08186866044998,2.593372375880887,1,0.08893147802426767,0.037919871834648775,200,30.56919593811035,6.1474858924544655,1,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,3,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,2,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,2.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,2.0
Health-ClosedIssues0003,10000,0.195177013918833,0.04431140741673079,30,4.271694207191468,0.4479834476317766,2,0.1677160870455143,0.03891588932130139,50,6.678052175045013,0.6900194198524293,1,0.15364775736371233,0.030107360514489603,100,17.032131481170655,1.923757308039856,1,0.1504417947134012,0.025691855465654282,200,31.721633267402648,6.158440129436264,1,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,2,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,2,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.2863374826075807,0.01042506589532772,30,4.626224112510681,0.4742479238299042,2,0.2776048141936085,0.009429413309243717,50,8.51135823726654,1.2186874197155428,1,0.272801491146577,0.007229685518267887,100,17.5035080075264,3.197550095774853,1,0.27042737513284953,0.008470226178474401,200,34.930506837368014,7.481069030492917,1,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,2,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,2,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.2387306442196721,0.005795595128662092,30,3.989080023765564,0.5348269483641426,2,0.23617712284872017,0.006863423415121572,50,9.384062504768371,1.0806087700929883,2,0.23345172971157502,0.0067816529478420895,100,19.246842312812806,3.1939441351587425,1,0.2292274211490275,0.006352922040068033,200,35.18345829248428,7.5196076317041864,1,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,2,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,2,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.10972874530182883,0.016499857553240932,30,5.672409975528717,0.5928884344353812,2,0.10485230377146135,0.010227717312120025,50,10.16732577085495,1.2808920800412706,2,0.09882490922460259,0.010813846010550208,100,18.411842226982117,3.3786753638632074,1,0.09076814535613462,0.014489338007001586,200,34.95813726186752,7.392648249565547,1,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,3,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,2,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.4759733225709134,0.0941833850101576,30,5.486719369888306,0.49144981562817897,3,0.40658260158904785,0.0773622316883987,50,11.05333856344223,1.1996107776513087,2,0.3594551346393239,0.06483065763064265,100,25.23447299003601,2.2578146013897085,1,0.3227903215776223,0.034506280119481175,200,46.75666166543961,3.824090316940074,1,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,4,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,3,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,2.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,2.0
Health-ClosedIssues0008,10000,0.29215973271532,0.05092956380840962,30,5.326886868476867,0.5010803306445721,2,0.2698875289063942,0.03724431042689601,50,10.058438766002656,1.018133821094993,2,0.2570474950619709,0.030198183102862118,100,25.274834787845613,1.9410929483372312,1,0.24092083791619165,0.014914710219910131,200,45.822957038879395,4.363970279976964,1,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,2,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
