Dataset,Rows,ILS-30_mean,ILS-30_std,ILS-30_budget,ILS-30_runtime_mean,ILS-30_runtime_std,ILS-30_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,0.002628264721992975,0.001838897719605424,30,0.15710012912750243,0.004894189606165737,2,0.0018822827172831301,0.001291007896061017,50,0.25496343374252317,0.00826149116083244,1,0.0009424959954919248,0.0009384804284689846,100,0.5286332249641419,0.009790654736642888,1,0.000488257925211255,0.0006455214571979931,200,1.261450755596161,0.018944120150357922,1,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,2,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,2,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,2.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,2.0
Health-ClosedIssues0000,10000,0.5998793771948534,0.26796595878026114,30,0.3973628044128418,0.02848328008212643,3,0.5230160546009126,0.30849905259196625,50,0.6786670923233032,0.0447992149040574,3,0.42869797628762873,0.3200071611941802,100,1.1026044964790345,0.145188008013898,2,0.4088983825783911,0.3285174965038885,200,3.179410219192505,0.15240723294520378,2,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,1,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.4613871306995816,0.016201920685092422,30,0.39589978456497193,0.030743034878428305,3,0.4510551642410032,0.020361549715786985,50,0.6598143100738525,0.042728073665569154,2,0.4451191967340048,0.025057984089711074,100,1.0610045671463013,0.1423250029951354,2,0.43705139469665966,0.030041031248203027,200,2.6714178562164306,0.21173328431430988,1,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,3,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,2,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,1.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,1.0
Health-ClosedIssues0002,10000,0.2114716612843588,0.1389139635846678,30,0.3988935470581055,0.02630184021787294,2,0.18040955472443407,1.2312804336657292e-15,50,0.6381423354148865,0.04737983993957183,1,0.18040955472443387,1.461158640125628e-15,100,1.0744497776031494,0.13643531459572847,1,0.1804095547244337,1.6256010006047357e-15,200,2.766661834716797,0.2264576135806332,1,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,1,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,1,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,1.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,1.0
Health-ClosedIssues0003,10000,0.27620084023666996,0.06772541337520394,30,0.4128204584121704,0.031996318585098084,2,0.2649534874955061,0.06549492957027622,50,0.44686689376831057,0.028320529211088488,2,0.25095730163303437,0.06614839335090085,100,1.0730640292167664,0.13910456510474203,2,0.20012994625285824,0.06477671774428245,200,2.2155335187911986,0.2302881136867957,1,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,1,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,1,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.3054543834967949,0.013054088114079045,30,0.4052399039268494,0.02483402953477823,3,0.2962578515336357,0.013149206502348841,50,0.6397973775863648,0.07131479152517589,2,0.29059669424422974,0.013406498405018438,100,1.1677942156791687,0.16703748576296296,2,0.2819346393158195,0.014130758809426347,200,2.704981541633606,0.232687371250652,1,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,2,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,1,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.2435006796328157,0.006877237305231522,30,0.47073572874069214,0.033350798528242666,2,0.24116430408511708,0.008792885811132817,50,0.6891036868095398,0.03514468518100694,2,0.23757364452989077,0.007776650833920586,100,1.6668160796165465,0.07810904084924865,1,0.23470666769163104,0.007383994907895122,200,2.0811622381210326,0.2169312844265223,1,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,2,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,1,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.13836809393188867,0.030595457187852237,30,0.54744553565979,0.04236350191980277,2,0.12867578943818928,0.027746660694209693,50,0.8734511375427246,0.051080905972687815,2,0.11500648735170915,0.017674224025127003,100,1.7644389390945434,0.1008171209975767,1,0.10660093922954017,0.010300207873187391,200,3.3452516913414003,0.1401660595805861,1,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,2,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,1,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.5792985999586818,0.06171841000854354,30,0.4962547540664673,0.045205132010950506,3,0.570811781153377,0.06385278316861123,50,0.7331307888031006,0.056994413709497135,3,0.5351552767490062,0.09840702903618292,100,1.6538394570350647,0.10339979107046993,2,0.502407838225844,0.11652374880507076,200,3.4589947700500487,0.20484930888171302,2,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,2,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,1,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,1.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,1.0
Health-ClosedIssues0008,10000,0.4315396487913968,0.11096274566918488,30,0.42778881788253786,0.03353706967019936,2,0.39427895649982997,0.1254941868613004,50,0.8018599867820739,0.0624556723075496,2,0.36313664469229073,0.13172368281833047,100,1.3438045501708984,0.12445467273938783,2,0.32454418166644694,0.1281693232582523,200,3.4698128700256348,0.11944852726603675,1,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,1,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
