Dataset,Rows,TS-30_mean,TS-30_std,TS-30_budget,TS-30_runtime_mean,TS-30_runtime_std,TS-30_tier,TS-50_mean,TS-50_std,TS-50_budget,TS-50_runtime_mean,TS-50_runtime_std,TS-50_tier,TS-100_mean,TS-100_std,TS-100_budget,TS-100_runtime_mean,TS-100_runtime_std,TS-100_tier,TS-200_mean,TS-200_std,TS-200_budget,TS-200_runtime_mean,TS-200_runtime_std,TS-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,0.0028488819518176604,0.0016939402802369115,30.0,0.16250936985015865,0.005577241823989533,2.0,0.0016855160957063749,0.0011716703840685516,50,0.2526730179786682,0.005610045230089563,1,0.00041037054818518,0.0004294138458931701,100,0.5305193901062012,0.010567035760842917,1,0.00024848175711157,0.00013471065030409217,200,1.2639401316642762,0.012541815143372992,1,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,2,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,2,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,2.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,2.0
Health-ClosedIssues0000,10000,0.6295484150552464,0.2608777707669894,30.0,0.3959389328956604,0.01997455067558393,3.0,0.6015774262002489,0.26196494466048686,50,0.6502517223358154,0.03304193822130254,3,0.46575260604788316,0.3194559217076561,100,1.1045273184776305,0.154082891251808,2,0.4121782499048475,0.32863602364427114,200,2.0585883975028993,0.191160136847813,2,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,1,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.46561882721415315,0.016550684548585902,30.0,0.39788362979888914,0.021943502675282094,3.0,0.45507612850013696,0.016869788331539293,50,0.6521552205085754,0.030067771319569118,2,0.4436521284432762,0.02349913346851995,100,1.097208309173584,0.13277835366016422,1,0.4352029887726789,0.030958798049816258,200,3.124493861198425,0.15603667927089232,1,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,2,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,1,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,1.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,1.0
Health-ClosedIssues0002,10000,0.17485269857381577,0.024709555547526418,30.0,0.4112309098243713,0.022185219907151943,2.0,0.1748217895155606,0.024847783020389206,50,0.6743188977241517,0.034414712822439984,2,0.16772784107045782,0.03329143209794106,100,1.0953187942504883,0.15681931408073524,1,0.15965433753269567,0.03933855541649607,200,2.432864081859589,0.2352168001469892,1,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,2,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,1,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,1.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,1.0
Health-ClosedIssues0003,10000,0.287629548022059,0.0628652495716019,30.0,0.42539448738098146,0.017380405187661728,2.0,0.2783457036881124,0.0671631436175345,50,0.7026154518127441,0.02304614455181776,2,0.2511141853406903,0.06584457723218183,100,1.1235811829566955,0.16023769607514338,2,0.21949440535153175,0.07162945201055315,200,2.279530239105225,0.2487526657846454,1,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,1,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,1,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.3011791836518417,0.011067890434943209,30.0,0.4104233503341675,0.033974271760070736,3.0,0.29611076699165084,0.011901329561406583,50,0.6922251343727112,0.03157733330989333,3,0.2875134322610174,0.01271795255747607,100,1.6919534921646118,0.0781854699942373,2,0.2823918960224509,0.013124901125800247,200,2.267952048778534,0.10768728809143999,1,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,2,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,1,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.24359749414572002,0.010893970582050817,30.0,0.5247343897819519,0.024119219697096444,3.0,0.23953918639080532,0.005553765896611903,50,0.6817590236663819,0.03743857555174107,2,0.23655151691751164,0.008076375500498927,100,1.196435308456421,0.12819158099153682,1,0.23375074976526528,0.008292840910793374,200,3.0850833296775817,0.09588221385654445,1,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,2,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,2,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.13741762891092923,0.0341238042856833,30.0,0.4000439167022705,0.019582149878499273,2.0,0.1264174441619591,0.03162069679405671,50,0.6833082795143127,0.06789236333733564,2,0.11512134137526527,0.030412175940542917,100,1.1503251791000366,0.060688731074180886,1,0.11053275493817502,0.030612621308421815,200,2.433638882637024,0.21911887498277524,1,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,2,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,1,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.5898686469208809,0.02107670380633194,30.0,0.4730093955993652,0.035276464151652066,3.0,0.5719484199552671,0.0473893761788259,50,1.0283953428268433,0.06295389582931708,3,0.5226487894060933,0.09919749744108794,100,1.834235668182373,0.08315120733694549,2,0.4759418986816872,0.12380594570614216,200,2.890367269515991,0.3020260405724786,1,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,2,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,1,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,1.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,1.0
Health-ClosedIssues0008,10000,0.45024055170789534,0.11216231893626012,30.0,0.546125864982605,0.028086794372121124,3.0,0.4204158738204885,0.11551175531592944,50,0.7005920767784118,0.04215811091677567,3,0.3635012875647814,0.1320692277851564,100,1.3556623458862305,0.10658000245021017,2,0.33141943419413605,0.1305829706877564,200,2.8223938941955566,0.19834666411037458,1,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,1,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
