Dataset,Rows,DODGE-30_mean,DODGE-30_std,DODGE-30_budget,DODGE-30_runtime_mean,DODGE-30_runtime_std,DODGE-30_tier,DODGE-50_mean,DODGE-50_std,DODGE-50_budget,DODGE-50_runtime_mean,DODGE-50_runtime_std,DODGE-50_tier,DODGE-100_mean,DODGE-100_std,DODGE-100_budget,DODGE-100_runtime_mean,DODGE-100_runtime_std,DODGE-100_tier,DODGE-200_mean,DODGE-200_std,DODGE-200_budget,DODGE-200_runtime_mean,DODGE-200_runtime_std,DODGE-200_tier,RandomSearch-30_mean,RandomSearch-30_std,RandomSearch-30_budget,RandomSearch-30_runtime_mean,RandomSearch-30_runtime_std,RandomSearch-30_tier,RandomSearch-50_mean,RandomSearch-50_std,RandomSearch-50_budget,RandomSearch-50_runtime_mean,RandomSearch-50_runtime_std,RandomSearch-50_tier,RandomSearch-100_mean,RandomSearch-100_std,RandomSearch-100_budget,RandomSearch-100_runtime_mean,RandomSearch-100_runtime_std,RandomSearch-100_tier,RandomSearch-200_mean,RandomSearch-200_std,RandomSearch-200_budget,RandomSearch-200_runtime_mean,RandomSearch-200_runtime_std,RandomSearch-200_tier
7z,68640,0.00761281105164528,0.0039725952845965605,30,0.21328234672546387,0.04661949550864899,2,0.006545234473689064,0.004262160846878428,50,0.34559921026229856,0.006188812932256068,2,0.005427110627467715,0.0037259443848609445,100,0.48768541812896726,0.10863548950796337,1,0.005427110627467715,0.0037259443848609445,200,0.5340718507766724,0.11876110117792608,1,0.00761281105164528,0.0039725952845965605,30,0.20090023279190058,0.001295199106841497,2,0.006545234473689064,0.004262160846878428,50,0.32857192754745485,0.001291383848176479,2,0.004684084432433625,0.00322319310139619,100,0.6494511604309082,0.005851252041282774,1,0.0026038679635620047,0.002528592434707619,200,1.3828063130378723,0.007753418595455479,1
Apache_AllMeasurements,192,0.030386168667253223,0.01590837792751356,30,0.18014155626296993,0.007600395909683432,2,0.02270050126752335,0.0013085270139905675,50,0.27320587635040283,0.012076043657286185,1,0.022576737091884156,0.0011954691478420856,100,0.47441376447677613,0.06802743261379876,1,0.022576737091884156,0.0011954691478420856,200,0.46501253843307494,0.09687289788781998,1,0.030386168667253223,0.01590837792751356,30,0.1706544756889343,0.007466170560120653,2,0.02270050126752335,0.0013085270139905675,50,0.27439353466033933,0.01138837213993177,1,0.022576737091884156,0.0011954691478420856,100,0.5887896537780761,0.02068932974464857,1,0.022259451345223457,0.0009585583164219126,200,0.8801451206207276,0.03574335327367061,1
BDBC,2560,0.004002435413847196,0.0029485669051773976,30,0.18123025894165037,0.0019499497439063112,2,0.0026413458449089404,0.0015100020316189712,50,0.2920470595359802,0.007734468198267369,1,0.0020330937945305,0.0015429539004426082,100,0.40515812635421755,0.10785298138614746,1,0.0020330937945305,0.0015429539004426082,200,0.49757373332977295,0.14332628006476197,1,0.004002435413847196,0.0029485669051773976,30,0.1710216641426086,0.0024259187292615596,2,0.0026413458449089404,0.0015100020316189712,50,0.2897998809814453,0.0024658178117593107,1,0.00155005288367478,0.001050102865946053,100,0.6240328907966614,0.002217413259010451,1,0.0010631460152318347,0.0009428685576724245,200,1.601311445236206,0.01552232712320694,1
FFM-1000-200-0.50-SAT-1,10000,0.34442651855589895,0.03669258657814968,30,0.5342750787734986,0.03961712612315355,3,0.3294254104222328,0.026233243947529607,50,0.9266406536102295,0.12311281902835583,2,0.3057074603252999,0.024689545997240447,100,1.7057711124420165,0.11456391320718544,1,0.29281219932313,0.022321009922739877,200,3.1586636304855347,0.08799348550507245,1,0.34442651855589895,0.03669258657814968,30,0.5049423336982727,0.048120504529845995,3,0.3294254104222328,0.026233243947529607,50,0.8277503848075867,0.10623011955448834,2,0.3057074603252999,0.024689545997240447,100,1.6824837923049927,0.11470659271751589,1,0.29281219932313,0.022321009922739877,200,3.2643083572387694,0.3058710671069394,1
FFM-125-25-0.50-SAT-1,10000,0.29259447458625276,0.042442216546394476,30,0.4174623370170593,0.003781203644054259,2,0.268680045067425,0.03198808359945295,50,0.6390948295593262,0.0724523205697264,1,0.2594554020668903,0.024193969368836592,100,1.541446900367737,0.10043233189564488,1,0.24560799898831315,0.02400040819503665,200,3.139976441860199,0.18685735197693187,1,0.29259447458625276,0.042442216546394476,30,0.5530746221542359,0.03492646683646292,2,0.268680045067425,0.03198808359945295,50,0.6893859505653381,0.06101299808614346,1,0.2594554020668903,0.024193969368836592,100,1.4338131666183471,0.12711065877364108,1,0.24560799898831315,0.02400040819503665,200,2.8294880867004393,0.20903052134441077,1
FFM-250-50-0.50-SAT-1,10000,0.399555910956202,0.021609746518316434,30,0.42850546836853026,0.005843457720767658,3,0.3872521942687682,0.018434249832946555,50,0.5880829215049743,0.0033204054069167033,2,0.378644560102394,0.015666896885637212,100,1.395103967189789,0.09716742399743865,1,0.3700279316533608,0.014145575065252013,200,2.62131929397583,0.19949084324029814,1,0.399555910956202,0.021609746518316434,30,0.3962754726409912,0.04811649835160736,3,0.3872521942687682,0.018434249832946555,50,0.6002992391586304,0.0031716758793899663,2,0.378644560102394,0.015666896885637212,100,1.442174994945526,0.0678190265138348,1,0.3700279316533608,0.014145575065252013,200,2.6155651926994326,0.14716340641425138,1
FFM-500-100-0.50-SAT-1,10000,0.38760670733984215,0.03335755607141762,30,0.22668278217315674,0.0014465077265230176,3,0.36956385221527394,0.030110713560668866,50,0.4467311382293701,0.010896787533699012,2,0.35725206965775386,0.027871511418979013,100,0.7730286359786988,0.03120979761842786,1,0.3465782650361972,0.01784381214484173,200,4.081849825382233,0.07546363813911583,1,0.38760670733984215,0.03335755607141762,30,0.23305611610412594,0.006821715601789524,3,0.36956385221527394,0.030110713560668866,50,0.4117529273033142,0.010484504133170673,2,0.35725206965775386,0.027871511418979013,100,1.0153928518295288,0.04067294813170096,1,0.3465782650361972,0.01784381214484173,200,1.6502379179000854,0.03947020117977162,1
FM-500-100-0.25-SAT-1,10000,0.37943010233528285,0.025618973645748014,30,0.32966712713241575,0.0300831350326488,3,0.3684085178838649,0.018100982424279318,50,0.6584989428520203,0.020665597225949857,2,0.358148557591898,0.010627399458106139,100,2.033587169647217,0.04743235262683754,1,0.35209063659373696,0.010981830688125784,200,4.223419642448425,0.02089420667222179,1,0.37943010233528285,0.025618973645748014,30,0.2822365641593933,0.012713250470403812,3,0.3684085178838649,0.018100982424279318,50,0.4630663633346558,0.013482180708053019,2,0.358148557591898,0.010627399458106139,100,0.752273964881897,0.003913484416701893,1,0.35209063659373696,0.010981830688125784,200,1.5239185333251952,0.005948232049936735,1
FM-500-100-0.50-SAT-1,10000,0.36978387397522783,0.03358612452405695,30,0.22463055849075314,0.002173831915176472,3,0.355370482568845,0.03341803790819428,50,0.3807670116424561,0.002848165657276366,2,0.33676524480200876,0.02565999339841847,100,2.0193328499794005,0.0638335432281771,1,0.3284654190371584,0.01976696420239261,200,1.6829780459403991,0.01623074417441533,1,0.36978387397522783,0.03358612452405695,30,0.22297711372375484,0.0013957016474005193,3,0.355370482568845,0.03341803790819428,50,0.3722388744354248,0.006453544669301309,2,0.33676524480200876,0.02565999339841847,100,0.7624211311340332,0.03832639566497861,1,0.3284654190371584,0.01976696420239261,200,1.7408692598342896,0.011896756504229665,1
FM-500-100-0.75-SAT-1,10000,0.34809465255778743,0.020394572018585806,30,0.22000935077667233,0.00232001142581897,2,0.3409468323131648,0.018689276896710048,50,0.8777999639511108,0.08639216766364588,2,0.32525271847687864,0.020378375998723056,100,0.7427115082740784,0.007830026716773669,1,0.306252308121166,0.01969190274135772,200,4.928452754020691,0.050451213687372654,1,0.34809465255778743,0.020394572018585806,30,0.24511625766754147,0.0067348275811258745,2,0.3409468323131648,0.018689276896710048,50,0.3729621648788452,0.012005012996040091,2,0.32525271847687864,0.020378375998723056,100,0.7395055174827576,0.0045537287407417726,1,0.306252308121166,0.01969190274135772,200,1.6250405669212342,0.035647283124953515,1
FM-500-100-1.00-SAT-1,10000,0.35570440342300946,0.03228423990143144,30,0.22094357013702393,0.001269075681813462,3,0.3430415891365786,0.023026701290633795,50,0.4080978870391846,0.005672138091421575,2,0.3298092565625273,0.02130774480080656,100,0.8169029951095581,0.010830670324111653,1,0.31888588507843907,0.016492393775726272,200,1.4525689959526062,0.008940338824110999,1,0.35570440342300946,0.03228423990143144,30,0.22552492618560788,0.001173543397038212,3,0.3430415891365786,0.023026701290633795,50,0.37090601921081545,0.0016833384445771266,2,0.3298092565625273,0.02130774480080656,100,0.9583547592163086,0.009750728582377481,1,0.31888588507843907,0.016492393775726272,200,1.4454509496688843,0.0100742934361983,1
HSMGP_num,3456,0.013049630747440515,0.009292821183648287,30,0.14835424423217772,0.0010476135172045938,2,0.009911451452322891,0.005233969799598176,50,0.16657062768936154,0.0009349424772680339,1,0.009082541555859011,0.0034366453571208033,100,0.4320379614830017,0.08313882615167774,1,0.008737275556733216,0.0037060221663826258,200,0.282182776927948,0.06442853688534922,1,0.013049630747440515,0.009292821183648287,30,0.19454053640365596,0.0020655836577611894,2,0.009911451452322891,0.005233969799598176,50,0.1834104537963867,0.002360214496026436,1,0.00839715497450622,0.0037677914603085993,100,0.3670830249786377,0.0036764295628668405,1,0.006132104004431914,0.0031867485818880582,200,0.6707687020301819,0.0032772325537687923,1
HSQLDB,864,0.00400307965414485,0.0021196824807662843,30,0.1339848160743713,0.000867267348481122,2,0.0036075828110226096,0.002143424749922715,50,0.2652720332145691,0.008213757047363959,2,0.00347874202597265,0.002159824901287283,100,0.34394177198410036,0.07706028244546709,2,0.00347874202597265,0.002159824901287283,200,0.38134765625,0.08876152607074558,2,0.00400307965414485,0.0021196824807662843,30,0.13563860654830928,0.000740820565494924,2,0.00354161668564471,0.0021609969746569403,50,0.2850966930389404,0.006543770311530864,2,0.0027969388487336646,0.0011073420113083758,100,0.5156782388687133,0.010684376392293091,1,0.002014819065657065,0.0005529614461590598,200,0.6680694818496704,0.006951086402074393,1
Health-ClosedIssues0000,10000,0.2436035472793674,0.08124869683254071,30,0.3391117453575134,0.00569927716639152,2,0.1971589273666558,0.04340968601686768,50,0.7702356576919556,0.04469942705732518,1,0.1762449802718085,0.01737836565604451,100,1.0811391592025756,0.012604351683619482,1,0.16289964423056777,0.015677046796153483,200,1.5052219033241272,0.35217290976024973,1,0.2436035472793674,0.08124869683254071,30,0.3181367516517639,0.002193642472434185,2,0.1971589273666558,0.04340968601686768,50,0.5050782799720764,0.0030483730005228644,1,0.1762449802718085,0.01737836565604451,100,1.1322777628898621,0.010066498436576985,1,0.16190651069979456,0.015028483930107502,200,1.7298658847808839,0.26354394172901296,1
Health-ClosedIssues0001,10000,0.4534503448138981,0.021031773269409207,30,0.30488609075546264,0.0021283774768549135,2,0.4443007046898203,0.026285755972866955,50,0.7288565874099732,0.01881883900084672,1,0.44147535946766325,0.024861205975382654,100,0.995859706401825,0.06205933483037617,1,0.4378664847227095,0.023886625632148804,200,2.649219977855682,0.6839477384349741,1,0.4534503448138981,0.021031773269409207,30,0.40731579065322876,0.0016571025195102475,2,0.4443007046898203,0.026285755972866955,50,0.7484879851341247,0.006371653432547473,1,0.43980374627476343,0.024623764109980874,100,1.3928111433982848,0.17468392667134175,1,0.43399445469380665,0.025114866626182092,200,2.730592596530914,0.006522996482587438,1
Health-ClosedIssues0002,10000,0.1788156469320195,0.007005811315925642,30,0.3076286792755127,0.009834140213618345,2,0.1742429145963961,0.020737231829568294,50,0.47304763793945315,0.04608913895917829,2,0.1742429145963961,0.020737231829568294,100,0.46136907339096067,0.09170734040174856,2,0.1742429145963961,0.020737231829568294,200,0.7605258226394653,0.1757018669649269,2,0.1788156469320195,0.007005811315925642,30,0.44913448095321656,0.006114469202716146,2,0.17424291459639574,0.020737231829568176,50,0.7626664400100708,0.030877180700761262,2,0.16920274124214613,0.028554942598215186,100,1.2541535377502442,0.1634720141934868,2,0.15876852000508013,0.03960955846480239,200,2.3546847105026245,0.19369641934670703,1
Health-ClosedIssues0003,10000,0.21397280771566315,0.040386414560268445,30,0.3149153828620911,0.002811787199379436,3,0.19247584490314723,0.036260887501976966,50,0.6820285081863403,0.0027657354341364872,2,0.17094856255900365,0.02797369303225981,100,1.6874826550483704,0.13231767382010118,1,0.15739087306516197,0.013591991985186982,200,1.5135517120361328,0.33708168517171916,1,0.21397280771566315,0.040386414560268445,30,0.4511310696601868,0.006260485310838503,3,0.19247584490314723,0.036260887501976966,50,0.7460267424583436,0.007598291625535225,2,0.17094856255900365,0.02797369303225981,100,1.2298029780387878,0.13883731526133133,1,0.15660613307214297,0.013291947421334393,200,2.4198301672935485,0.20008476960635502,1
