Dataset,Rows,EDA-30_mean,EDA-30_std,EDA-30_budget,EDA-30_runtime_mean,EDA-30_runtime_std,EDA-30_tier,EDA-50_mean,EDA-50_std,EDA-50_budget,EDA-50_runtime_mean,EDA-50_runtime_std,EDA-50_tier,EDA-100_mean,EDA-100_std,EDA-100_budget,EDA-100_runtime_mean,EDA-100_runtime_std,EDA-100_tier,EDA-200_mean,EDA-200_std,EDA-200_budget,EDA-200_runtime_mean,EDA-200_runtime_std,EDA-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,0.003323846311043385,0.002004674761878058,30,0.17445067167282105,0.0035674779128859937,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,1,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,1,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,1.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,1.0
Health-ClosedIssues0000,10000,0.22570867067444295,0.12072531174920756,30,0.4612478494644165,0.009256077797152588,2,0.2032845232649545,0.11557588223607251,50.0,0.7517940998077393,0.004857806896056801,2.0,0.17532600219811134,0.04776917922609356,100.0,1.2319288372993469,0.14344588576494016,1.0,0.17475819233598672,0.04785253279779853,200.0,2.3706499099731446,0.19862334097590173,1.0,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,1,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.4550141355216436,0.015414849263924179,30,0.4550637364387512,0.002929692481626953,3,0.4512855586149345,0.013431922060835273,50.0,0.7488463759422302,0.005529019665372981,3.0,0.44667009588743306,0.014513547505910494,100.0,1.2400806665420532,0.14159808988579234,2.0,0.44607159154556986,0.014227052131279339,200.0,2.4170952081680297,0.18635887119340627,2.0,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,3,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,2,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,1.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,1.0
Health-ClosedIssues0002,10000,0.17748035593572603,0.008424164778618029,30,0.4619580626487732,0.0032621132933472203,1,0.17431543721107348,0.012003528943596537,50.0,0.9721523404121399,0.008377969076750891,1.0,0.17283412843393348,0.012975873393926985,100.0,1.3180791735649109,0.1713740334846965,1.0,0.17283412843393348,0.012975873393926982,200.0,2.532521903514862,0.24831066482876865,1.0,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,1,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,1,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,1.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,1.0
Health-ClosedIssues0003,10000,0.22108632032762357,0.04754635031296957,30,0.6203821659088135,0.0064707582854874775,3,0.20474757123678183,0.04194219502537053,50.0,0.8917887210845947,0.06386617501241915,3.0,0.19418562511737852,0.04384196994855674,100.0,1.2414694905281067,0.15749531982825002,2.0,0.1921255539649698,0.04338318548749117,200.0,2.5495343446731566,0.25568862619364896,2.0,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,3,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,2,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.29241032978088677,0.011587120460104332,30,0.4781027674674988,0.016534584367764275,2,0.28991480413293746,0.011625241021901935,50.0,0.7483039140701294,0.0683455761849827,2.0,0.28864747296160853,0.012082384406876784,100.0,1.7808955788612366,0.11127015665015125,2.0,0.2884410379542009,0.012109717656550913,200.0,2.6740121483802795,0.1009170213680858,2.0,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,2,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,1,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.23793801084514438,0.006444247890387091,30,0.6280162334442139,0.004218227235552516,2,0.23668502318708592,0.006695487016348554,50.0,0.9520753383636474,0.017768096448079067,1.0,0.23596901640675982,0.0066655176621676065,100.0,1.626549518108368,0.12450039691364388,1.0,0.23592512172353503,0.0066274806974112935,200.0,3.0853757739067076,0.22982698175118466,1.0,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,2,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,2,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.11922065852879593,0.012107806694006087,30,0.5581796169281006,0.0071182326844085875,3,0.11061555084109535,0.008820374346699064,50.0,1.0206107020378112,0.005990523646195446,2.0,0.10609138563923133,0.008856556383656788,100.0,1.5838791251182556,0.10148770493449133,1.0,0.10459369402285021,0.009714000204043031,200.0,2.6306501030921936,0.3875747705149201,1.0,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,3,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,2,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.5229217343458411,0.0702187278661608,30,0.5783921360969544,0.003531869150365044,2,0.5060051439693478,0.073937257840244,50.0,1.0156374335289002,0.004774123656556187,2.0,0.4863474382620049,0.08974362504380701,100.0,2.015646588802338,0.012419203275010275,2.0,0.4821152519547196,0.0937247960051484,200.0,4.003270304203033,0.07305074823695352,2.0,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,2,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,1,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,1.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,1.0
Health-ClosedIssues0008,10000,0.31141590454061935,0.0826467517906431,30,0.5437861919403076,0.005082421160566313,2,0.28952005301093275,0.07535090411473112,50.0,0.9554247260093689,0.023389292031803996,2.0,0.26961898183859173,0.06546179858522456,100.0,1.9023674249649047,0.008161481515710937,1.0,0.26904174892539107,0.06571799585166571,200.0,3.8779832482337953,0.033360363190768925,1.0,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,1,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
