Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,SWAY-30_mean,SWAY-30_std,SWAY-30_budget,SWAY-30_runtime_mean,SWAY-30_runtime_std,SWAY-30_tier,SWAY-50_mean,SWAY-50_std,SWAY-50_budget,SWAY-50_runtime_mean,SWAY-50_runtime_std,SWAY-50_tier,SWAY-100_mean,SWAY-100_std,SWAY-100_budget,SWAY-100_runtime_mean,SWAY-100_runtime_std,SWAY-100_tier,SWAY-200_mean,SWAY-200_std,SWAY-200_budget,SWAY-200_runtime_mean,SWAY-200_runtime_std,SWAY-200_tier
7z,68640,0.0084205862012108,0.004301518889755352,30,0.22321286201477047,0.012176955629523891,2,0.0073044326726545705,0.004765007934601902,50,0.34830689430236816,0.010513827725024188,2,0.003344763554443729,0.004137570758833069,100.0,0.7728093385696411,0.030329831933243855,1.0,0.0004278129808471799,0.00027988376321676364,200,1.4998996615409852,0.10778641805374385,1,0.010042021170155391,0.004119229939241369,30,1.1048147916793822,0.124003339320356,3,0.009780862624253216,0.0041164949186806845,50,1.2168034195899964,0.07456779813426709,3,0.008540231582915966,0.004072778398406931,100,1.5323389053344727,0.05926276490469438,2,0.002886571926676415,0.0032210329902248786,200,2.345350420475006,0.07681268245995988,1
Apache_AllMeasurements,192,0.025294779683143698,0.013221561854259833,30,0.19961314201354977,0.007954036053093002,1,0.02206508878648593,0.000853773030865349,50,0.4363687515258789,0.07923832643904706,1,0.022020743548390693,0.0008226661473570817,100.0,1.3179023504257201,0.05973942764155971,1.0,0.022020743548390693,0.0008226661473570817,200,4.141569423675537,0.26013233779385175,1,0.05684181705005224,0.026504921278084452,30,0.6936403751373291,0.048347284105946395,2,0.05684181705005224,0.026504921278084452,50,0.6982269883155823,0.049270476906060366,2,0.05684181705005224,0.026504921278084452,100,0.7185513257980347,0.03944601077635891,2,0.024971915478312602,0.010635106384561818,200,1.2664006710052491,0.062070134187443705,1
BDBC,2560,0.00245176131395851,0.0019692394896363343,30,0.18861150741577143,0.01221276489620507,1,0.0011514918925888049,0.0009547449580947085,50,0.31832185983657835,0.014081957863962175,1,0.000494435781696925,0.0006005866950145281,100.0,0.7144157409667968,0.03738161135927887,1.0,0.00022395542832407003,4.411407475686552e-05,200,1.733615469932556,0.13068677560790684,1,0.0057102037218155904,0.0034482142958685937,30,1.1293963313102722,0.03545726488010956,2,0.00551093161288689,0.003427311725108173,50,1.1973788857460022,0.06111028184280623,2,0.0043681641401790705,0.0024038777896393635,100,1.8909442663192748,0.08850995031013291,2,0.0012845022448202102,0.001031977487640248,200,2.1511085391044618,0.09422165393827038,1
FFM-1000-200-0.50-SAT-1,10000,0.3109832176408992,0.028308079177678556,30,0.6451858162879944,0.0650308788716366,2,0.28601854848451913,0.021436815686644243,50,1.3740798592567445,0.19415922557703705,1,0.25075953071800544,0.01694296906231501,100.0,3.6330779671669005,0.3830062369086974,1.0,0.24354472727997178,0.012665141398980367,200,10.405868709087372,1.340082583631304,1,0.35739560436018214,0.04012681441568219,30,20.613069665431976,0.895057730306123,3,0.3572353683516819,0.03984979969532004,50,21.099117171764373,0.9947556674562431,3,0.35562630185320926,0.038090031957042275,100,22.053410744667055,0.9308674968756101,3,0.3108249415098935,0.018976048189624502,200,29.522636795043944,1.281046054633688,2
FFM-125-25-0.50-SAT-1,10000,0.2749631785334886,0.03575084521355447,30,0.25263588428497313,0.01794091766659239,1,0.247649884568148,0.029329898906616567,50,0.49351729154586793,0.06944263186000872,1,0.2218301319781018,0.009279132225153268,100.0,1.0307631969451905,0.07634567053329258,1.0,0.21598198023414997,0.0060469390449084375,200,2.1184589147567747,0.13358557702470913,1,0.33320197039868005,0.03499471740812532,30,3.0365610480308534,0.3310182568262782,2,0.32452844659104274,0.0289050252683872,50,3.340850043296814,0.15848492787090632,2,0.31891020886461197,0.0264875658562427,100,3.6629541516304016,0.2621257869084261,2,0.25421201148810857,0.026047143400000243,200,5.8758559107780455,0.24237940685031847,1
FFM-250-50-0.50-SAT-1,10000,0.37597492500084656,0.018983865489470852,30,0.2691465377807617,0.01320969728253637,1,0.36500793879522336,0.012857170476799167,50,0.4759699463844299,0.03480095426941726,1,0.3537881275503429,0.009365260290303552,100.0,1.086215329170227,0.06428106852211095,1.0,0.3452630582096135,0.006429601360481695,200,2.847389853000641,0.22611196725208588,1,0.42678927564044156,0.021140036037419666,30,2.844130074977875,0.04013901657429666,2,0.42492515764889205,0.019680387283294208,50,3.5479731917381288,0.14840685016387595,2,0.42177950619221943,0.02453470634591127,100,4.6316691637039185,0.07458963322012638,2,0.37995544064199616,0.0181140965824803,200,4.893234348297119,0.1071198617204079,1
FFM-500-100-0.50-SAT-1,10000,0.3556477121429194,0.03219613775141756,30,0.3054823040962219,0.020868129885974907,2,0.3398229197325039,0.027138615194993117,50,0.5795855402946473,0.05046878915193469,1,0.3118171997887925,0.027275932629384686,100.0,1.4236289978027343,0.19350328452072418,1.0,0.2850733825080389,0.01489292940839134,200,3.6226044654846192,0.3816339703036736,1,0.4125940563538448,0.046080760201179766,30,5.613715708255768,0.0509587902539171,3,0.4042916891639141,0.042949596933045744,50,5.781426274776459,0.04469050026518629,3,0.39213390049515795,0.0367099900574762,100,7.322800195217132,0.1548166970228412,3,0.3642969692441954,0.022057261174841032,200,8.382997024059296,0.06939678920363045,2
FM-500-100-0.25-SAT-1,10000,0.35143824647645683,0.018473325959187787,30,0.3618364453315735,0.03492302326408627,1,0.3440036144295072,0.013791236750706962,50,0.6470240712165832,0.08347330147666833,1,0.33479810620960915,0.00760670459054172,100.0,1.6272485613822938,0.2349625667968058,1.0,0.3285579740189665,0.0057710172564339355,200,4.446436071395874,0.47532363875382944,1,0.40465611689169584,0.03128781835882943,30,5.707753121852875,0.06378453647195306,2,0.40105915822838767,0.027527686550727737,50,5.937220394611359,0.06361484867105606,2,0.3966574636275267,0.024053915536375634,100,6.30842354297638,0.05826781819618085,2,0.36495167032402737,0.01363165641059787,200,8.582794976234435,0.12482026632793337,1
FM-500-100-0.50-SAT-1,10000,0.3431067359663923,0.026515627622769218,30,0.3165653824806213,0.028824022556163943,1,0.3249237175891011,0.014953933608038712,50,0.733456289768219,0.08761396814382362,1,0.3149105476847415,0.011068562405872987,100.0,1.805645728111267,0.20893740678715328,1.0,0.30439941103621193,0.009940021698673956,200,3.580571138858795,0.2440860197975407,1,0.409177030083783,0.0271875443048151,30,5.948977243900299,0.06994577320748552,2,0.4020625444505769,0.02200759521314515,50,5.7519938230514525,0.10916789113607958,2,0.39294900550130296,0.028521961996016327,100,6.026892840862274,0.052087955778635515,2,0.35288567444374447,0.025908783987727065,200,8.756604921817779,0.149619657678362,1
FM-500-100-0.75-SAT-1,10000,0.31432796142099073,0.026209455128576815,30,0.33726183176040647,0.029573206201082308,1,0.28774231496468866,0.022920117840131933,50,1.1428725957870483,0.07421639770330597,1,0.2670259635573448,0.015626630165139044,100.0,1.5175358414649964,0.17675127663443108,1.0,0.25217136788265293,0.007075697889745677,200,4.659865689277649,0.5150145114744562,1,0.3834471397745944,0.04075791942850754,30,5.327165114879608,0.06710660985758791,2,0.38301345919102253,0.040256025385824665,50,5.4313973665237425,0.03393232269458843,2,0.3794949423169264,0.036904051447380966,100,6.711917912960052,0.08028722379725751,2,0.31038331140887543,0.029832366964423897,200,8.054151320457459,0.08317633523851498,1
FM-500-100-1.00-SAT-1,10000,0.32873075947170066,0.02537302528988127,30,0.4748085021972656,0.023171229958903663,1,0.310709850498743,0.014455738208597595,50,0.8958488464355469,0.064113796748564,1,0.29734722510691275,0.0073921521447959685,100.0,2.893799889087677,0.2895167582677479,1.0,0.29206859755540476,0.002568504211164286,200,5.670822751522064,0.43605751856820096,1,0.40001372765963056,0.02854729029670223,30,5.502707552909851,0.05325949883998888,2,0.39930877696418393,0.027835764576653783,50,5.675797438621521,0.03809508812431884,2,0.3930514371903816,0.023187620583300882,100,5.8510747909545895,0.062185421932666254,2,0.33427080619712723,0.01809092692692387,200,8.490174186229705,0.06204397595680015,1
HSMGP_num,3456,0.009360983955729024,0.0048849963969331235,30,0.14355498552322382,0.003423589535429016,1,0.0065952307085379806,0.0028933971539610074,50,0.24507457017898554,0.00817413068458819,1,0.0038876183345322645,0.0013886235512317574,100.0,0.7188671827316284,0.03223653843957698,1.0,0.00268331354630088,0.0009537001516823701,200,1.3974017739295959,0.06331439764818488,1,0.022205581282221665,0.011040285662394102,30,0.755172324180603,0.07407344183489899,2,0.022060168269706713,0.01085963704044186,50,1.1970201969146728,0.06014670352944539,2,0.020804017826906235,0.010445966846872214,100,0.9613485693931579,0.13263910657638986,2,0.008259040924790604,0.0032877081050836543,200,1.4445549964904785,0.19394260260318608,1
HSQLDB,864,0.0023132417008482347,0.0008358248190488725,30,0.14455200433731075,0.0068215221593753055,1,0.00212520154976876,0.0006794363509191151,50,0.2640703797340393,0.015702574814915726,1,0.0016922008379361552,7.750282750107084e-05,100.0,0.558160126209259,0.0328418361055869,1.0,0.0016088007413008298,4.368202570009043e-05,200,1.2469638466835022,0.07558767037701923,1,0.010127539625046865,0.007748338636963416,30,1.0080477595329285,0.03602007292181728,2,0.009555826947885874,0.007874623191262205,50,1.2310200810432435,0.08651040006226628,2,0.00867025959988884,0.006613352315444141,100,1.0795122265815735,0.14978971239280428,2,0.0030036908635693903,0.0012638084433696474,200,2.314984941482544,0.08782083828816338,1
Health-ClosedIssues0000,10000,0.1854922942386426,0.030817196446781055,30,0.35265369415283204,0.022835636723112222,2,0.16692007818836954,0.020567770417081462,50,0.7085200905799866,0.0817406213805811,1,0.14835694672908875,0.00981258648572437,100.0,1.1859367489814758,0.07592361697045712,1.0,0.14098372014687993,0.004681290502791263,200,2.3457741022109984,0.03390677580049335,1,0.20803308792704506,0.03547836502143299,30,0.5369449257850647,0.03743260633251462,3,0.20803308792704506,0.03547836502143299,50,0.7852652430534363,0.05691343120956494,3,0.20803308792704506,0.03547836502143299,100,1.098897933959961,0.034327142416268996,3,0.17587895437940299,0.020896298328246122,200,2.8939395189285277,0.04322200861103247,1
