Dataset,Rows,GA-30_mean,GA-30_std,GA-30_budget,GA-30_runtime_mean,GA-30_runtime_std,GA-30_tier,GA-50_mean,GA-50_std,GA-50_budget,GA-50_runtime_mean,GA-50_runtime_std,GA-50_tier,GA-100_mean,GA-100_std,GA-100_budget,GA-100_runtime_mean,GA-100_runtime_std,GA-100_tier,GA-200_mean,GA-200_std,GA-200_budget,GA-200_runtime_mean,GA-200_runtime_std,GA-200_tier,ONEPLUSONE-30_mean,ONEPLUSONE-30_std,ONEPLUSONE-30_budget,ONEPLUSONE-30_runtime_mean,ONEPLUSONE-30_runtime_std,ONEPLUSONE-30_tier,ONEPLUSONE-50_mean,ONEPLUSONE-50_std,ONEPLUSONE-50_budget,ONEPLUSONE-50_runtime_mean,ONEPLUSONE-50_runtime_std,ONEPLUSONE-50_tier,ONEPLUSONE-100_mean,ONEPLUSONE-100_std,ONEPLUSONE-100_budget,ONEPLUSONE-100_runtime_mean,ONEPLUSONE-100_runtime_std,ONEPLUSONE-100_tier,ONEPLUSONE-200_mean,ONEPLUSONE-200_std,ONEPLUSONE-200_budget,ONEPLUSONE-200_runtime_mean,ONEPLUSONE-200_runtime_std,ONEPLUSONE-200_tier
7z,68640,0.009021514399967236,0.0049536437302998455,30,0.18314170837402338,0.012442748802068835,2,0.0064489929607616115,0.005090363962138267,50,0.2716403007507324,0.020155882458210785,1,0.004171292681449309,0.005002559853508617,100,0.5380192399024963,0.044007800003078655,1,0.0023668250373782103,0.0039043189294458835,200,0.8896599650382996,0.07552176702670896,1,0.01772713604035369,0.015483912280875896,30.0,0.2097204208374023,0.0031816422520802657,3.0,0.012354357232209715,0.004121524739586698,50,0.3317727565765381,0.0037469885606078944,2,0.01124453874098087,0.0036757114982484893,100,0.6333720922470093,0.007420406513420594,2,0.00957360912879537,0.003753287582256041,200,1.363023614883423,0.016989899877527186,2
Apache_AllMeasurements,192,0.02709469834019464,0.009704584475666649,30,0.13748918771743773,0.012375509275577862,1,0.023329903647550783,0.005011065817027752,50,0.18794338703155514,0.020989027889570088,1,0.022037482966380122,0.0007942291766449405,100,0.26442139148712157,0.028893774522885687,1,0.022020743548390693,0.0008226661473570817,200,0.3838364124298096,0.04050996065021704,1,0.09086083993513366,0.0627202831482885,30.0,0.025875306129455523,0.0031509947838295575,2.0,0.07367354176782967,0.04926891589022371,50,0.03466469049453731,0.004295618211779989,2,0.061629632337512494,0.03560799300840833,100,0.060804784297943074,0.005809254714433143,2,0.03982118360329747,0.021370215564313698,200,0.1254268050193786,0.006097478972461591,1
BDBC,2560,0.0029834210098978247,0.0015264574445427387,30,0.1580180168151855,0.0064703049695351,1,0.0021350007288892152,0.001293369661865449,50,0.23156582117080687,0.008506116025862936,1,0.00093860247118594,0.0009246732242376937,100,0.5290862321853638,0.021325718426552263,1,0.0003943542631523,0.00059316234079954,200,1.0696311473846436,0.04869544124242301,1,0.016530819645306647,0.01206928614004075,30.0,0.02283270359039301,0.0006885760804877348,2.0,0.010339190490734482,0.007070152095261817,50,0.03176696300506589,0.0006032515923090898,2,0.00547454814878565,0.003930271700776468,100,0.07029961347579952,0.0011890407174922155,1,0.003124498233851535,0.001585259935003063,200,0.12887049913406368,0.0010733521076445687,1
FFM-1000-200-0.50-SAT-1,10000,0.3208463845888205,0.03448957739485814,30,0.4357151985168457,0.0158264272581308,1,0.2938252157170581,0.021386327714936433,50,0.6390008568763733,0.02924205892603328,1,0.2527983906725157,0.02102670592316847,100,1.251048457622528,0.08703000030101797,1,0.23761891912940922,0.007369616262227389,200,2.003082799911499,0.13883161464339386,1,0.414127729811464,0.04975356681184809,30.0,0.10769090652465815,0.005105422483614522,3.0,0.39573663276568627,0.04644409272475193,50,0.11744325160980221,0.0025947128722622675,3,0.37538001615213046,0.036470442381941956,100,0.1967747092247009,0.002045466577730795,2,0.3606384778853159,0.030755093097566515,200,0.3748261570930481,0.005095701365412882,2
FFM-125-25-0.50-SAT-1,10000,0.25077797920403216,0.027753347361913,30,0.3074555039405823,0.004462603682850774,1,0.23329061059742182,0.01996187517457197,50,0.5045304656028747,0.0070605220753379066,1,0.21581920906927152,0.004118173280536217,100,0.8350055575370788,0.1499689558821283,1,0.21316971723160977,0.004158220904728472,200,1.440350592136383,0.22959049874845439,1,0.3743248097136288,0.061636936607180566,30.0,0.044768083095550484,0.0008806369603491697,3.0,0.3528663352842134,0.05664236402872716,50,0.0669667840003967,0.0014591600508415267,3,0.3265335266112702,0.0453876016938553,100,0.20683910846710205,0.00578979368342719,2,0.31042088801169543,0.02720798574651118,200,0.21800091266632077,0.0014349256721109635,2
FFM-250-50-0.50-SAT-1,10000,0.38927122096578776,0.025657306070596495,30,0.5401210188865662,0.031257202966062866,1,0.3659449403127329,0.021907280331651898,50,0.3223717451095581,0.025367102656560787,1,0.34759012807387485,0.009839902737315933,100,0.5562885046005249,0.031229350072356603,1,0.3421271010680026,0.002587603800378906,200,0.9923334121704102,0.07062478945539537,1,0.4532787322193029,0.03850661169775135,30.0,0.03260698318481442,0.0004013138915094013,3.0,0.43539002367696245,0.0346797895876956,50,0.1139803886413574,0.009532193045019396,3,0.4171767658159517,0.036190890681049546,100,0.09213192462921141,0.03628540170712453,2,0.40195621793205405,0.025491305280613212,200,0.16853828430175777,0.002398908577897469,2
FFM-500-100-0.50-SAT-1,10000,0.3551227876496121,0.03568353556267761,30,0.5336000084877014,0.04602048083984539,1,0.3223612164799533,0.029559165999235158,50,0.3776816725730896,0.031588893800033886,1,0.28956076380768364,0.0206828766167963,100,0.7347076535224915,0.0568837030643161,1,0.2747575512150523,0.012632075310843585,200,1.3016345858573914,0.038230680392722184,1,0.4561509127476426,0.05848035200629947,30.0,0.038165414333343445,0.001339907898199091,3.0,0.4432987304715524,0.06076678707067177,50,0.05406128168106076,0.0004263528863486843,3,0.42795353751200615,0.054867675668552496,100,0.24983515739440917,0.009484516701128435,2,0.40520858627645795,0.040232345121302394,200,0.18338187932968136,0.0008981665033410595,2
FM-500-100-0.25-SAT-1,10000,0.35813320082705535,0.02193159592345305,30,0.5664219737052918,0.03394007066916904,1,0.33931803729603305,0.014783282747848018,50,0.37916812896728513,0.006690475967026835,1,0.3273082436042901,0.007184237465123456,100,0.7090908288955688,0.014068383472438585,1,0.3217532408863576,0.004182744466987407,200,1.4105603456497193,0.038634271971962404,1,0.43511026422647686,0.034109996179318036,30.0,0.035518324375152545,0.0002586726248656911,3.0,0.418955113993228,0.03439300433817481,50,0.054426622390747026,0.00032484104272492183,3,0.4048003496319449,0.028387988128796636,100,0.09887200593948361,0.002462667236703383,2,0.39029477941076873,0.024138592663333285,200,0.18901029825210566,0.002515007156459665,2
FM-500-100-0.50-SAT-1,10000,0.3577000265875545,0.03284405273908659,30,0.21960279941558833,0.004661960763041601,1,0.33677329088858715,0.024943345361421152,50,0.4447993278503418,0.041717151886915604,1,0.3050995107284983,0.013592995303022146,100,0.7480790138244628,0.026083000702174456,1,0.28491976640905836,0.020101892810989824,200,1.319897198677063,0.060910771069983265,1,0.43922854858329413,0.037629918203651254,30.0,0.04145337343215936,0.0017903392651937486,3.0,0.4194070124925987,0.03685676895036719,50,0.054098057746887175,0.00042451715401915405,3,0.40759281431540434,0.03155759358836458,100,0.09760271310806272,0.001228808043117442,2,0.39143202363164115,0.032472884028060145,200,0.1818355560302734,0.0007834262374319862,2
FM-500-100-0.75-SAT-1,10000,0.33542553879669057,0.04223291513587533,30,0.25279511213302613,0.011596341231546448,2,0.2958916971240175,0.033018840711154074,50,0.32868162393569944,0.01650087661513019,1,0.25848694834228986,0.015152833813275325,100,0.5908232212066651,0.024733345311876112,1,0.24760485636782698,0.002896709531187095,200,1.0251818776130677,0.04968750856976994,1,0.40730253703804725,0.041589324895458746,30.0,0.03444519042968745,0.0003499043351871611,4.0,0.399127798018403,0.03416003841809073,50,0.05351600646972652,0.000706866651797306,4,0.3814913244575836,0.040852839927736855,100,0.09243825674057005,0.0003989920742020636,3,0.36328083738547673,0.03212081516150427,200,0.22214838266372677,0.005958586052631112,2
