Dataset,Rows,PTUNE-30_mean,PTUNE-30_std,PTUNE-30_budget,PTUNE-30_runtime_mean,PTUNE-30_runtime_std,PTUNE-30_tier,PTUNE-50_mean,PTUNE-50_std,PTUNE-50_budget,PTUNE-50_runtime_mean,PTUNE-50_runtime_std,PTUNE-50_tier,PTUNE-100_mean,PTUNE-100_std,PTUNE-100_budget,PTUNE-100_runtime_mean,PTUNE-100_runtime_std,PTUNE-100_tier,PTUNE-200_mean,PTUNE-200_std,PTUNE-200_budget,PTUNE-200_runtime_mean,PTUNE-200_runtime_std,PTUNE-200_tier,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier
7z,68640,0.013417265492403112,0.002625670421594516,30.0,6.330898129940033,0.30812325032573434,4.0,0.011946024456962596,1.1009585161057954e-05,50,25.37265899181366,3.926322201549537,3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.009025621123826346,0.003913919614893221,30,5.868022978305817,0.2328095009541367,2,0.008663903141857776,0.004593859499238114,50,11.386288106441498,1.4857943538364011,2,0.00445870263701039,0.0050877594733819516,100,26.34924088716507,1.968957725282306,1,0.0012851152697256852,0.002378489298916658,200.0,57.42106301784516,5.34294664619153,1.0
Apache_AllMeasurements,192,0.022078957834104976,0.0008536860154642847,30.0,5.22762930393219,0.10819792658323739,1.0,0.022020743548390693,0.0008226661473570817,50,15.20591959953308,2.3730393797978557,1,0.022020743548390693,0.0008226661473570817,100.0,89.08942240476608,10.978728626311202,1.0,nan,nan,nan,nan,nan,nan,0.02644498620116271,0.008793169708074214,30,3.1988579392433167,0.09585029569492774,2,0.02284596210298425,0.0015053372571049817,50,6.067808032035828,0.4765430952759112,1,0.022080797244694386,0.0008810591192612349,100,16.877317953109742,1.6919519448503366,1,0.022037871906144056,0.0008465287360205806,200.0,28.366966247558594,4.820649146508008,1.0
BDBC,2560,0.0025907761848546753,0.0022639056209620622,30.0,4.8934743165969845,0.25442488574909855,3.0,0.0015838391943043852,0.001382115982272799,50,15.809334933757782,3.31879345018737,2,0.00029295226054923,0.0004368149407843888,100.0,147.74875631332398,27.06694267983103,1.0,nan,nan,nan,nan,nan,nan,0.00256743356146715,0.0015525109782191183,30,4.5257133603096005,0.29533133512312926,3,0.001730071481399035,0.0012626527898052852,50,8.112392902374268,0.9140695678172972,2,0.00114457286108167,0.001008791392301129,100,22.430172824859618,2.5707474588929813,1,0.00019606980547873,2.0953529998951774e-05,200.0,52.77992069721222,4.3698318427319025,1.0
FFM-1000-200-0.50-SAT-1,10000,0.5681831839149404,0.0015853501258161126,30.0,24.731900417804717,0.12756892099416423,2.0,0.5681831839149404,0.0015853501258161126,50,68.15623017549515,2.03445555355993,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.30267084513601544,0.03402718577091397,30,37.618927359580994,2.3790545014928837,1,0.28293688520540894,0.03470734478267635,50,70.49069608449936,4.876317233651326,1,0.2533114638261593,0.019786839372961045,100,196.96922031641006,9.202394427951175,1,nan,nan,nan,nan,nan,nan
FFM-125-25-0.50-SAT-1,10000,0.5661495825770126,0.0012260307928800805,30.0,8.342437672615052,0.7661589563470219,2.0,0.5661495825770126,0.0012260307928800805,50,27.34551578760147,3.634891061113803,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.25340224653261456,0.03463543011891613,30,9.92514466047287,1.434312358827531,1,0.24828928630823768,0.034557686170445086,50,16.28632310628891,1.9036743051388794,1,0.22530274001712608,0.01203984651316804,100,41.55535098314285,4.177385445994461,1,0.21565873332752844,0.0035942143622061944,200.0,98.0516352891922,8.517376745147708,1.0
FFM-250-50-0.50-SAT-1,10000,0.5098235751097558,0.00010570254693229253,30.0,14.466949307918549,0.09566228764757428,2.0,0.5098235751097558,0.00010570254693229253,50,18.21176941394806,0.2166150562556178,2,0.5098235751097558,0.00010570254693229253,100.0,72.44773697853088,62.9676882618025,2.0,nan,nan,nan,nan,nan,nan,0.38756786883817396,0.024443552659727887,30,12.99647523164749,1.0979808851750854,1,0.3626771704170224,0.017807986799332962,50,21.58001790046692,1.8014110593434804,1,0.34776231732357654,0.0076364601399072606,100,58.73597778081894,6.328168071809854,1,0.3460669649968289,0.008715034098697016,200.0,176.56922776699065,7.809653689582858,1.0
FFM-500-100-0.50-SAT-1,10000,0.4835135210931649,0.00011340257123521822,30.0,15.05359810590744,0.2334258372847442,2.0,0.4835135210931649,0.00011340257123521822,50,28.464878618717194,4.584795989659354,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34104706991634737,0.03361115626479766,30,13.780352210998535,2.4716533051129557,1,0.3119325540752072,0.027406752485144743,50,21.102408909797667,2.0464196053104367,1,0.27919168320364196,0.010932670223987319,100,93.72102879285812,3.732791406776821,1,nan,nan,nan,nan,nan,nan
FM-500-100-0.25-SAT-1,10000,0.4242116538389927,0.0036678699308819547,30.0,12.057677483558654,0.34588908310020294,2.0,0.4242116538389927,0.0036678699308819547,50,61.62300037145614,11.386447437313553,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3559410732078176,0.01769791526627795,30,13.212249171733855,1.7355632335070212,1,0.3421783485918096,0.01440564096065702,50,22.19373197555542,2.668016030254514,1,0.3271631016041374,0.007851206290452039,100,64.78995656967163,4.33691012959854,1,0.3273122051377727,0.007074599735864427,200.0,157.7706278681755,8.95394294188586,1.0
FM-500-100-0.50-SAT-1,10000,0.45751884983198304,0.0012122252197722513,30.0,10.571536421775818,0.11564643097819632,2.0,0.45751884983198304,0.0012122252197722513,50,50.092896902561186,6.635869156901128,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.34954526307517897,0.031187234137262532,30,12.857652127742767,1.7182905599721854,1,0.3268038244520995,0.02275736730686508,50,23.382897222042082,4.739234374848883,1,0.30002365329556413,0.025543189126359715,100,59.53810957670212,4.071072769154367,1,0.27319713143780605,0.016405091084074015,200.0,155.9225802063942,9.557174824226902,1.0
FM-500-100-0.75-SAT-1,10000,0.4947655938896438,0.0004069066372685299,30.0,10.312449419498444,0.13068739540491067,2.0,0.4947655938896438,0.0004069066372685299,50,20.5975634932518,2.1602615651099386,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.30367684087024455,0.039065973424494076,30,12.191957902908324,1.2101660348859593,1,0.26747425760143656,0.018716808951535515,50,22.7516197681427,2.3341822672837873,1,0.25671076824150274,0.017387602362368377,100,59.83051869869232,4.691790625247145,1,0.25583003957794564,0.013517806525544705,200.0,145.83150398731232,8.757425636164218,1.0
