Dataset,Rows,SA-30_mean,SA-30_std,SA-30_budget,SA-30_runtime_mean,SA-30_runtime_std,SA-30_tier,SA-50_mean,SA-50_std,SA-50_budget,SA-50_runtime_mean,SA-50_runtime_std,SA-50_tier,SA-100_mean,SA-100_std,SA-100_budget,SA-100_runtime_mean,SA-100_runtime_std,SA-100_tier,SA-200_mean,SA-200_std,SA-200_budget,SA-200_runtime_mean,SA-200_runtime_std,SA-200_tier,ILS-30_mean,ILS-30_std,ILS-30_budget,ILS-30_runtime_mean,ILS-30_runtime_std,ILS-30_tier,ILS-50_mean,ILS-50_std,ILS-50_budget,ILS-50_runtime_mean,ILS-50_runtime_std,ILS-50_tier,ILS-100_mean,ILS-100_std,ILS-100_budget,ILS-100_runtime_mean,ILS-100_runtime_std,ILS-100_tier,ILS-200_mean,ILS-200_std,ILS-200_budget,ILS-200_runtime_mean,ILS-200_runtime_std,ILS-200_tier
7z,68640,0.03618708707501241,0.038431108918327954,30,0.20335601568222042,0.004743054807840836,2,0.028999058593930805,0.03463098744667088,50,0.3451532006263733,0.006467137265160092,2,0.015822497887113634,0.022853115979180005,100,0.6423478364944458,0.010538172546994823,1,0.00740837001498428,0.017850432048605556,200,1.2921664237976074,0.01987568000858596,1,0.03125077587113,0.03434394291174739,30,0.1943025708198547,0.009820130294236675,2,0.026519555066496926,0.029979223344502166,50,0.29553215503692626,0.010995297549133651,2,0.014779055490829621,0.016988933276418334,100,0.6477238893508911,0.01339230174383383,1,0.00697833973829836,0.006961325349627103,200,1.2053574919700623,0.021338432585372474,1
Apache_AllMeasurements,192,0.03212509008692833,0.016470106560058623,30,0.16691391468048092,0.011231526170409267,2,0.024857655524622508,0.01006031300743119,50,0.26207761764526366,0.018555043208378943,1,0.022147022894045014,0.0008757709356318812,100,0.46754940748214724,0.02293267008353705,1,0.022020743548390693,0.0008226661473570817,200,0.7016413807868958,0.038207583078253365,1,0.02797751549548381,0.014323191489742405,30,0.16041381359100343,0.0072368593425123275,2,0.024627830786810124,0.010305029137727737,50,0.23697302341461177,0.015686395827779184,1,0.02207000611452826,0.0008598718035119674,100,0.4199709057807922,0.02714570893416281,1,0.022020743548390693,0.0008226661473570817,200,0.6833064556121826,0.04528819513061327,1
BDBC,2560,0.00369211685467229,0.0027306922639923,30,0.15907794237136835,0.0033662699501010715,2,0.001610987690933615,0.0012825443079516382,50,0.3299620270729065,0.0024935870162099702,1,0.0009537492151711352,0.0009443196196772479,100,0.646704626083374,0.005859481279383009,1,0.000339748550814145,0.00023176779105317386,200,1.0850773215293885,0.018030804196814097,1,0.002628264721992975,0.001838897719605424,30,0.15710012912750243,0.004894189606165737,2,0.0018822827172831301,0.001291007896061017,50,0.25496343374252317,0.00826149116083244,1,0.0009424959954919248,0.0009384804284689846,100,0.5286332249641419,0.009790654736642888,1,0.000488257925211255,0.0006455214571979931,200,1.261450755596161,0.018944120150357922,1
FFM-1000-200-0.50-SAT-1,10000,0.3318559222541931,0.03018021314183271,30,0.2582289338111877,0.013440694038551474,2,0.316513684842041,0.022893496890273955,50,0.46292920112609864,0.03768652740832,2,0.2785942456335093,0.029460026863991448,100,0.8060211539268494,0.00928283344808545,1,0.24376779172867447,0.016029710701574478,200,1.7022209882736206,0.10951629906317056,1,0.31178995619108596,0.04106952570959676,30,0.42385087013244627,0.014665613500481638,2,0.2878380378287441,0.026981209323958012,50,0.41606205701828003,0.023988267907313926,1,0.2631269353852784,0.02445061058563901,100,1.4413244128227234,0.11434393654551356,1,0.25247019594981257,0.018630713886211125,200,2.6860084772109984,0.03374723501494104,1
FFM-125-25-0.50-SAT-1,10000,0.2929227582548728,0.04789159314919874,30,0.30324262380599976,0.0019692518378538904,3,0.2742037366903873,0.038960163965227376,50,0.5099739193916321,0.003186353314068651,2,0.23740511632505984,0.023925282870724887,100,1.0534042954444884,0.04546912177151098,1,0.2179339995540933,0.0076141673203716795,200,1.5030272841453551,0.21659138538092085,1,0.25751251455716295,0.039630769041465584,30,0.30103532075881956,0.004054492313889366,2,0.23827086654724758,0.020401178221433565,50,0.5161796092987061,0.0072018696275225145,1,0.22538350084854888,0.01545246329754102,100,1.0124275803565979,0.04196297832891185,1,0.21923145003269728,0.01007471969774962,200,1.479545772075653,0.22458178044968147,1
FFM-250-50-0.50-SAT-1,10000,0.4012717586915332,0.03460400574511632,30,0.21384091377258296,0.0031103193231018693,2,0.389634668175206,0.02805717688638713,50,0.5389869689941407,0.00992436252240064,2,0.3606231105759771,0.01348960097040405,100,0.7065695285797119,0.009441923432964362,1,0.3465850899665722,0.007329715361928736,200,1.3853197932243346,0.04995738926237042,1,0.38112975112347536,0.02703086253814867,30,0.2048219799995422,0.007589379615132951,2,0.36515722606579215,0.015525272059724452,50,0.5065871238708496,0.014082907391936716,1,0.361157311313211,0.014761462647699767,100,0.708704674243927,0.10101585440414454,1,0.3546036245769649,0.008005649837828793,200,3.827712595462799,0.14093372641089388,1
FFM-500-100-0.50-SAT-1,10000,0.3964170060152863,0.042057441149739506,30,0.2786348819732666,0.014026084224819099,3,0.37903701000502144,0.03158100523737657,50,0.45870060920715333,0.016966180281594846,3,0.3278586364116235,0.030596867714969042,100,0.8373400449752808,0.020653724664195953,1,0.28906980087769585,0.02065949969244757,200,1.523511254787445,0.026454821386792355,1,0.3692205751017223,0.05049507266955459,30,0.639547061920166,0.019348105091964062,3,0.3455632206871144,0.038700310986726244,50,1.0251780152320862,0.03367936509735411,2,0.31366125980989995,0.027864079826655324,100,0.7671536326408386,0.020029198841820545,1,0.2941835731978644,0.016227514224425494,200,1.4936945676803588,0.021123176121501424,1
FM-500-100-0.25-SAT-1,10000,0.3896790835321687,0.027064426540118553,30,0.24221796989440914,0.013687841270269693,3,0.3723472660031312,0.026183839388991423,50,0.41626954078674316,0.008560416019208978,2,0.3537029557392767,0.01811759789495312,100,0.7545228123664856,0.006022831913231802,1,0.3284450298503291,0.007942449950490166,200,1.5103658795356751,0.01060623413840134,1,0.3715314336949382,0.027816219371704434,30,0.2476403951644897,0.004879969227827721,2,0.3561621786752577,0.01954619855518082,50,0.4175854563713074,0.011042397637009819,1,0.34074925845485066,0.015784562023967955,100,0.7453240275382995,0.00981904600761704,1,0.33054461197142077,0.009064083238406209,200,1.4967109560966492,0.008332398017132208,1
FM-500-100-0.50-SAT-1,10000,0.3601859776478801,0.03945974586800488,30,0.45459718704223634,0.0025742573441445266,2,0.35238810496976775,0.031206299335068514,50,0.6239607214927674,0.007087820440019174,2,0.3199410778139543,0.021559960042364067,100,0.8573183417320251,0.03705113800459203,1,0.2967722242183378,0.01417095619646984,200,2.9599992632865906,0.01989578341437453,1,0.3646965650906163,0.03671309258374311,30,0.2233332514762878,0.004456810176427201,2,0.3449352645804857,0.0329405151318406,50,0.372997522354126,0.006566375871956217,2,0.30798994485762954,0.02104813747842807,100,0.7803711056709289,0.009975163046433434,1,0.299331184127232,0.01893904622548572,200,1.945267629623413,0.2517508969957356,1
FM-500-100-0.75-SAT-1,10000,0.36827285296868134,0.052117221264241384,30,0.3745999574661255,0.006231723521598038,3,0.331116120723953,0.03089674780296438,50,0.6192389130592346,0.009349769478273718,2,0.2946592126856248,0.02249661816254178,100,1.2371696949005127,0.0214007937889492,1,0.25545189642248733,0.011244587629326893,200,2.548140251636505,0.08682211616413216,1,0.3132776544464311,0.04309607432379354,30,0.22420977354049682,0.009851733244594556,2,0.30214323013676714,0.039281676305067174,50,0.9744276762008667,0.035440671472972085,1,0.27486128111988056,0.018665169593276867,100,0.8781586408615112,0.03641003191184396,1,0.2644850386158494,0.011935778682927159,200,1.4473514676094055,0.02782806812970709,1
