Dataset,Rows,EZR-30_mean,EZR-30_std,EZR-30_budget,EZR-30_runtime_mean,EZR-30_runtime_std,EZR-30_tier,EZR-50_mean,EZR-50_std,EZR-50_budget,EZR-50_runtime_mean,EZR-50_runtime_std,EZR-50_tier,EZR-100_mean,EZR-100_std,EZR-100_budget,EZR-100_runtime_mean,EZR-100_runtime_std,EZR-100_tier,EZR-200_mean,EZR-200_std,EZR-200_budget,EZR-200_runtime_mean,EZR-200_runtime_std,EZR-200_tier,RandomSearch-30_mean,RandomSearch-30_std,RandomSearch-30_budget,RandomSearch-30_runtime_mean,RandomSearch-30_runtime_std,RandomSearch-30_tier,RandomSearch-50_mean,RandomSearch-50_std,RandomSearch-50_budget,RandomSearch-50_runtime_mean,RandomSearch-50_runtime_std,RandomSearch-50_tier,RandomSearch-100_mean,RandomSearch-100_std,RandomSearch-100_budget,RandomSearch-100_runtime_mean,RandomSearch-100_runtime_std,RandomSearch-100_tier,RandomSearch-200_mean,RandomSearch-200_std,RandomSearch-200_budget,RandomSearch-200_runtime_mean,RandomSearch-200_runtime_std,RandomSearch-200_tier
7z,68640,0.0084205862012108,0.004301518889755352,30,0.22321286201477047,0.012176955629523891,2,0.0073044326726545705,0.004765007934601902,50,0.34830689430236816,0.010513827725024188,2,0.003344763554443729,0.004137570758833069,100.0,0.7728093385696411,0.030329831933243855,1.0,0.0004278129808471799,0.00027988376321676364,200,1.4998996615409852,0.10778641805374385,1,0.00761281105164528,0.0039725952845965605,30,0.20090023279190058,0.001295199106841497,2,0.006545234473689064,0.004262160846878428,50,0.32857192754745485,0.001291383848176479,2,0.004684084432433625,0.00322319310139619,100,0.6494511604309082,0.005851252041282774,1,0.0026038679635620047,0.002528592434707619,200,1.3828063130378723,0.007753418595455479,1
Apache_AllMeasurements,192,0.025294779683143698,0.013221561854259833,30,0.19961314201354977,0.007954036053093002,1,0.02206508878648593,0.000853773030865349,50,0.4363687515258789,0.07923832643904706,1,0.022020743548390693,0.0008226661473570817,100.0,1.3179023504257201,0.05973942764155971,1.0,0.022020743548390693,0.0008226661473570817,200,4.141569423675537,0.26013233779385175,1,0.030386168667253223,0.01590837792751356,30,0.1706544756889343,0.007466170560120653,2,0.02270050126752335,0.0013085270139905675,50,0.27439353466033933,0.01138837213993177,1,0.022576737091884156,0.0011954691478420856,100,0.5887896537780761,0.02068932974464857,1,0.022259451345223457,0.0009585583164219126,200,0.8801451206207276,0.03574335327367061,1
BDBC,2560,0.00245176131395851,0.0019692394896363343,30,0.18861150741577143,0.01221276489620507,2,0.0011514918925888049,0.0009547449580947085,50,0.31832185983657835,0.014081957863962175,1,0.000494435781696925,0.0006005866950145281,100.0,0.7144157409667968,0.03738161135927887,1.0,0.00022395542832407003,4.411407475686552e-05,200,1.733615469932556,0.13068677560790684,1,0.004002435413847196,0.0029485669051773976,30,0.1710216641426086,0.0024259187292615596,3,0.0026413458449089404,0.0015100020316189712,50,0.2897998809814453,0.0024658178117593107,2,0.00155005288367478,0.001050102865946053,100,0.6240328907966614,0.002217413259010451,1,0.0010631460152318347,0.0009428685576724245,200,1.601311445236206,0.01552232712320694,1
FFM-1000-200-0.50-SAT-1,10000,0.3109832176408992,0.028308079177678556,30,0.6451858162879944,0.0650308788716366,2,0.28601854848451913,0.021436815686644243,50,1.3740798592567445,0.19415922557703705,2,0.25075953071800544,0.01694296906231501,100.0,3.6330779671669005,0.3830062369086974,1.0,0.24354472727997178,0.012665141398980367,200,10.405868709087372,1.340082583631304,1,0.34442651855589895,0.03669258657814968,30,0.5049423336982727,0.048120504529845995,3,0.3294254104222328,0.026233243947529607,50,0.8277503848075867,0.10623011955448834,3,0.3057074603252999,0.024689545997240447,100,1.6824837923049927,0.11470659271751589,2,0.29281219932313,0.022321009922739877,200,3.2643083572387694,0.3058710671069394,2
FFM-125-25-0.50-SAT-1,10000,0.2749631785334886,0.03575084521355447,30,0.25263588428497313,0.01794091766659239,2,0.247649884568148,0.029329898906616567,50,0.49351729154586793,0.06944263186000872,1,0.2218301319781018,0.009279132225153268,100.0,1.0307631969451905,0.07634567053329258,1.0,0.21598198023414997,0.0060469390449084375,200,2.1184589147567747,0.13358557702470913,1,0.29259447458625276,0.042442216546394476,30,0.5530746221542359,0.03492646683646292,3,0.268680045067425,0.03198808359945295,50,0.6893859505653381,0.06101299808614346,2,0.2594554020668903,0.024193969368836592,100,1.4338131666183471,0.12711065877364108,2,0.24560799898831315,0.02400040819503665,200,2.8294880867004393,0.20903052134441077,1
FFM-250-50-0.50-SAT-1,10000,0.37597492500084656,0.018983865489470852,30,0.2691465377807617,0.01320969728253637,2,0.36500793879522336,0.012857170476799167,50,0.4759699463844299,0.03480095426941726,1,0.3537881275503429,0.009365260290303552,100.0,1.086215329170227,0.06428106852211095,1.0,0.3452630582096135,0.006429601360481695,200,2.847389853000641,0.22611196725208588,1,0.399555910956202,0.021609746518316434,30,0.3962754726409912,0.04811649835160736,3,0.3872521942687682,0.018434249832946555,50,0.6002992391586304,0.0031716758793899663,2,0.378644560102394,0.015666896885637212,100,1.442174994945526,0.0678190265138348,2,0.3700279316533608,0.014145575065252013,200,2.6155651926994326,0.14716340641425138,1
FFM-500-100-0.50-SAT-1,10000,0.3556477121429194,0.03219613775141756,30,0.3054823040962219,0.020868129885974907,2,0.3398229197325039,0.027138615194993117,50,0.5795855402946473,0.05046878915193469,2,0.3118171997887925,0.027275932629384686,100.0,1.4236289978027343,0.19350328452072418,1.0,0.2850733825080389,0.01489292940839134,200,3.6226044654846192,0.3816339703036736,1,0.38760670733984215,0.03335755607141762,30,0.23305611610412594,0.006821715601789524,3,0.36956385221527394,0.030110713560668866,50,0.4117529273033142,0.010484504133170673,3,0.35725206965775386,0.027871511418979013,100,1.0153928518295288,0.04067294813170096,2,0.3465782650361972,0.01784381214484173,200,1.6502379179000854,0.03947020117977162,2
FM-500-100-0.25-SAT-1,10000,0.35143824647645683,0.018473325959187787,30,0.3618364453315735,0.03492302326408627,1,0.3440036144295072,0.013791236750706962,50,0.6470240712165832,0.08347330147666833,1,0.33479810620960915,0.00760670459054172,100.0,1.6272485613822938,0.2349625667968058,1.0,0.3285579740189665,0.0057710172564339355,200,4.446436071395874,0.47532363875382944,1,0.37943010233528285,0.025618973645748014,30,0.2822365641593933,0.012713250470403812,3,0.3684085178838649,0.018100982424279318,50,0.4630663633346558,0.013482180708053019,2,0.358148557591898,0.010627399458106139,100,0.752273964881897,0.003913484416701893,2,0.35209063659373696,0.010981830688125784,200,1.5239185333251952,0.005948232049936735,1
FM-500-100-0.50-SAT-1,10000,0.3431067359663923,0.026515627622769218,30,0.3165653824806213,0.028824022556163943,2,0.3249237175891011,0.014953933608038712,50,0.733456289768219,0.08761396814382362,1,0.3149105476847415,0.011068562405872987,100.0,1.805645728111267,0.20893740678715328,1.0,0.30439941103621193,0.009940021698673956,200,3.580571138858795,0.2440860197975407,1,0.36978387397522783,0.03358612452405695,30,0.22297711372375484,0.0013957016474005193,3,0.355370482568845,0.03341803790819428,50,0.3722388744354248,0.006453544669301309,2,0.33676524480200876,0.02565999339841847,100,0.7624211311340332,0.03832639566497861,1,0.3284654190371584,0.01976696420239261,200,1.7408692598342896,0.011896756504229665,1
FM-500-100-0.75-SAT-1,10000,0.31432796142099073,0.026209455128576815,30,0.33726183176040647,0.029573206201082308,2,0.28774231496468866,0.022920117840131933,50,1.1428725957870483,0.07421639770330597,1,0.2670259635573448,0.015626630165139044,100.0,1.5175358414649964,0.17675127663443108,1.0,0.25217136788265293,0.007075697889745677,200,4.659865689277649,0.5150145114744562,1,0.34809465255778743,0.020394572018585806,30,0.24511625766754147,0.0067348275811258745,3,0.3409468323131648,0.018689276896710048,50,0.3729621648788452,0.012005012996040091,3,0.32525271847687864,0.020378375998723056,100,0.7395055174827576,0.0045537287407417726,2,0.306252308121166,0.01969190274135772,200,1.6250405669212342,0.035647283124953515,2
