Dataset,Rows,GA-30_mean,GA-30_std,GA-30_budget,GA-30_runtime_mean,GA-30_runtime_std,GA-30_tier,GA-50_mean,GA-50_std,GA-50_budget,GA-50_runtime_mean,GA-50_runtime_std,GA-50_tier,GA-100_mean,GA-100_std,GA-100_budget,GA-100_runtime_mean,GA-100_runtime_std,GA-100_tier,GA-200_mean,GA-200_std,GA-200_budget,GA-200_runtime_mean,GA-200_runtime_std,GA-200_tier,PSO-30_mean,PSO-30_std,PSO-30_budget,PSO-30_runtime_mean,PSO-30_runtime_std,PSO-30_tier,PSO-50_mean,PSO-50_std,PSO-50_budget,PSO-50_runtime_mean,PSO-50_runtime_std,PSO-50_tier,PSO-100_mean,PSO-100_std,PSO-100_budget,PSO-100_runtime_mean,PSO-100_runtime_std,PSO-100_tier,PSO-200_mean,PSO-200_std,PSO-200_budget,PSO-200_runtime_mean,PSO-200_runtime_std,PSO-200_tier
BDBC,2560,0.0029834210098978247,0.0015264574445427387,30,0.1580180168151855,0.0064703049695351,3,0.0021350007288892152,0.001293369661865449,50,0.23156582117080687,0.008506116025862936,2,0.00093860247118594,0.0009246732242376937,100,0.5290862321853638,0.021325718426552263,1,0.0003943542631523,0.00059316234079954,200,1.0696311473846436,0.04869544124242301,1,0.00340016760176777,0.00213687111675594,30,0.12638083696365351,0.015528750136218659,3,0.0033828649201281596,0.002134945970275058,50,0.13210941553115843,0.02292428382325778,3,0.0033828326217793052,0.002134947967979391,100.0,0.15372849702835084,0.02700126089375487,3.0,0.0033828326217793052,0.002134947967979391,200.0,0.1683056831359863,0.029728958841186388,3.0
Health-ClosedIssues0000,10000,0.2588198978739998,0.1320836464885602,30,0.36187076568603516,0.02520378888943645,2,0.22752210629659841,0.1278340680375969,50,0.48989189863204957,0.06192521844072543,2,0.19219972406314406,0.09044029609492961,100,0.6917223930358887,0.08342274259798599,1,0.16047794848542157,0.04331941611130413,200,1.227154541015625,0.19257512444133204,1,0.16246125041005,0.023606350547227473,30,0.4028343439102173,0.0024856453102039236,1,0.15291933192519877,0.019598381461979925,50,0.6727465987205505,0.007506993759686645,1,0.14429177927164377,0.014909257776831613,100.0,0.9931345224380493,0.013190362928321882,1.0,0.1414969926506619,0.01256538846429565,200.0,1.5716559171676636,0.25522217352921056,1.0
Health-ClosedIssues0001,10000,0.45565836292528655,0.013926539512743042,30,0.3724873423576355,0.033984364345689466,3,0.4527338969751174,0.01523564403901987,50,0.4818058371543884,0.05710950701840426,3,0.44847415381852773,0.014470009412601018,100,0.7281455397605896,0.08531349891510892,2,0.4452134759242362,0.01852806614882667,200,0.9914820671081543,0.18792054998266397,2,0.4537448022675794,0.021893314747669576,30,0.4470015406608582,0.001873443290006218,3,0.44551199348583037,0.02479387755795187,50,0.7508987545967102,0.010755719516179821,2,0.43598328643646234,0.027796362715214608,100.0,1.8281535506248474,0.06126120830696362,1.0,0.429007870262952,0.030409507228716815,200.0,2.807637119293213,0.36325058623132195,1.0
Health-ClosedIssues0002,10000,0.17417322464732898,0.021881627647392984,30,0.37493215799331664,0.030299734092888563,2,0.16906768507980874,0.03054676894584777,50,0.5466165661811828,0.0572798613631606,1,0.1674466332962649,0.031122855801134535,100,0.774833369255066,0.1598423216174127,1,0.1644391708768713,0.033117982447363935,200,1.2265480518341065,0.30940441016287645,1,0.17720215345644086,0.00828095367099435,30,0.44342650175094606,0.0038766047830387828,2,0.1676877655369384,0.03243719270978591,50,0.976810896396637,0.016318905746066835,1,0.1645233680515923,0.03279112399298448,100.0,1.5215497255325316,0.1098760623681936,1.0,0.15564790328317984,0.03770030375580231,200.0,2.7929624795913695,0.29653596314424424,1.0
Health-ClosedIssues0003,10000,0.23982146947901586,0.040154186592414334,30,0.424686861038208,0.056666807357490946,3,0.22890868268945025,0.04257796678565227,50,0.5211819410324097,0.06461910217694801,3,0.20728513788458675,0.05192693889205292,100,0.7785302877426148,0.08473562274120697,2,0.2000564155534724,0.055203830006184125,200,1.1954952836036683,0.1311991257068031,2,0.20578794911683027,0.04839983341321692,30,0.4599172592163086,0.011460354997981,2,0.1817870570812793,0.03957367072883111,50,0.752589762210846,0.01145471942675785,1,0.1601879731106566,0.025218040296663895,100.0,1.2081410765647889,0.14217627879852213,1.0,0.1443189439622469,0.014076575033507536,200.0,2.9031240344047546,0.25536486000579056,1.0
Health-ClosedIssues0004,10000,0.2925302350081319,0.009015577515896912,30,0.33629956245422366,0.03725051916148048,2,0.29012099096427296,0.009532158324533415,50,0.5094651699066162,0.059387758302064546,2,0.28618979412801615,0.009342939416435842,100,0.7133351564407349,0.07728988324434939,2,0.28143518214327495,0.010084062251438937,200,1.1876645922660827,0.1258595849614424,1,0.28907308357893563,0.013715261469489353,30,0.5201995015144348,0.046970418469223764,2,0.281378644110092,0.01323408298385011,50,0.6793420195579529,0.024366733410815085,1,0.27574795071456665,0.011171847947846631,100.0,1.2941222190856934,0.10404091270298559,1.0,0.2701405479566527,0.008282556658311829,200.0,2.888303518295288,0.4030921824343331,1.0
Health-ClosedIssues0005,10000,0.2405946151174115,0.004340563463358004,30,0.3385114908218384,0.029190960043620578,2,0.2385119676410244,0.005727504559291126,50,0.4917960286140442,0.06986272216513482,2,0.23618321729955918,0.007166833543916878,100,0.6849908351898193,0.07225565363511913,1,0.23389443658641623,0.00813628714603755,200,1.525670337677002,0.1578288325086669,1,0.23963652542533792,0.00560308600047907,30,0.46207101345062257,0.004188953279641858,2,0.23773768448416233,0.006063123185267113,50,0.7729224801063538,0.006164019087798756,2,0.2348813173216099,0.005916095448798477,100.0,1.221082079410553,0.13844276165422506,1.0,0.23325181954915086,0.005937068080963881,200.0,2.3525110363960264,0.18247871147817912,1.0
Health-ClosedIssues0006,10000,0.11858097434637387,0.011751263053169198,30,0.3858893394470215,0.03226314309956979,3,0.11401550386672014,0.01051763124457369,50,0.5241938829421997,0.05867004579923783,2,0.10541411476166496,0.011952451437197458,100,0.673925232887268,0.07664069915203806,1,0.1021737448486627,0.01222479280750642,200,1.333925712108612,0.17394009952522316,1,0.11902278273763471,0.019019935914306643,30,0.4722696185112,0.003964605841140416,3,0.10984707295424748,0.01258956146418733,50,0.8884963274002076,0.04128071346662578,2,0.09989918227042045,0.01436673836221471,100.0,1.335849368572235,0.19342358797529985,1.0,0.09416393394163533,0.014249709615193087,200.0,2.417663836479187,0.45556006121465187,1.0
Health-ClosedIssues0007,10000,0.5457349928129811,0.06420998094848367,30,0.32729804515838623,0.024321321011336532,3,0.524212352639156,0.08330999209418076,50,0.5699422240257264,0.057773146558409774,3,0.5034454948278959,0.09225264108503776,100,0.6647488117218018,0.085757959545254,2,0.48213263746395063,0.1018743664321455,200,1.5289925932884216,0.2515403543559516,2,0.5175254478472487,0.08315186342264237,30,0.5869518876075744,0.010958659270798586,3,0.46241660459046746,0.10943669388164183,50,0.9280233025550843,0.07341827273634272,1,0.4301383027477014,0.1183462359328965,100.0,1.2027405023574829,0.25617700679331584,1.0,0.4230171822711718,0.12154241584092534,200.0,1.9760562419891357,0.7343849043041984,1.0
Health-ClosedIssues0008,10000,0.3113649753841637,0.07142041706605931,30,0.4834609627723694,0.04592404054165092,2,0.29070535489275245,0.06605766910801815,50,0.5918234586715698,0.062067125662191316,2,0.27525221981585973,0.0645465054105221,100,0.8618613243103027,0.09234522452560522,1,0.2690132363277674,0.06398064976795596,200,1.4884711146354674,0.1619109414721112,1,0.2747541228279948,0.02515230312723741,30,0.5517386078834534,0.02722982570728172,1,0.25906738042694866,0.018083218096511255,50,0.5197948217391968,0.010994808995070422,1,0.24900553215621488,0.01595718635762181,100.0,1.5030404210090638,0.11979671152754671,1.0,0.24409908782874346,0.01329856102660735,200.0,4.3135711312294,0.47232787983440727,1.0
