Dataset,Rows,SMAC-30_mean,SMAC-30_std,SMAC-30_budget,SMAC-30_runtime_mean,SMAC-30_runtime_std,SMAC-30_tier,SMAC-50_mean,SMAC-50_std,SMAC-50_budget,SMAC-50_runtime_mean,SMAC-50_runtime_std,SMAC-50_tier,SMAC-100_mean,SMAC-100_std,SMAC-100_budget,SMAC-100_runtime_mean,SMAC-100_runtime_std,SMAC-100_tier,SMAC-200_mean,SMAC-200_std,SMAC-200_budget,SMAC-200_runtime_mean,SMAC-200_runtime_std,SMAC-200_tier,DE-30_mean,DE-30_std,DE-30_budget,DE-30_runtime_mean,DE-30_runtime_std,DE-30_tier,DE-50_mean,DE-50_std,DE-50_budget,DE-50_runtime_mean,DE-50_runtime_std,DE-50_tier,DE-100_mean,DE-100_std,DE-100_budget,DE-100_runtime_mean,DE-100_runtime_std,DE-100_tier,DE-200_mean,DE-200_std,DE-200_budget,DE-200_runtime_mean,DE-200_runtime_std,DE-200_tier
7z,68640,0.009025621123826346,0.003913919614893221,30,5.868022978305817,0.2328095009541367,2,0.008663903141857776,0.004593859499238114,50,11.386288106441498,1.4857943538364011,2,0.00445870263701039,0.0050877594733819516,100,26.34924088716507,1.968957725282306,1,0.0012851152697256852,0.002378489298916658,200.0,57.42106301784516,5.34294664619153,1.0,0.00932170544100422,0.003054490274636091,30.0,0.20921254158020014,0.002323992265920239,2.0,0.0071801664120746955,0.0036029200864199063,50,0.2800907015800476,0.019528949363477335,2,0.004859534480090935,0.00430819519129115,100,0.6757609844207764,0.009764335395197356,1,0.004055395344007278,0.004712122802427343,200,1.571783983707428,0.11428708805564511,1
Apache_AllMeasurements,192,0.02644498620116271,0.008793169708074214,30,3.1988579392433167,0.09585029569492774,1,0.02284596210298425,0.0015053372571049817,50,6.067808032035828,0.4765430952759112,1,0.022080797244694386,0.0008810591192612349,100,16.877317953109742,1.6919519448503366,1,0.022037871906144056,0.0008465287360205806,200.0,28.366966247558594,4.820649146508008,1.0,0.04045841874492606,0.02104121374570181,30.0,0.16889382600784297,0.010487130691565521,2.0,0.02858505842265039,0.012947910881504007,50,0.22964498996734614,0.021544216808478168,1,0.02343566459956175,0.004985344289732887,100,0.2823949813842773,0.047183521572440164,1,0.023435393435540585,0.004985435600143565,200,0.2891340494155884,0.05008762399072423,1
BDBC,2560,0.00256743356146715,0.0015525109782191183,30,4.5257133603096005,0.29533133512312926,2,0.001730071481399035,0.0012626527898052852,50,8.112392902374268,0.9140695678172972,1,0.00114457286108167,0.001008791392301129,100,22.430172824859618,2.5707474588929813,1,0.00019606980547873,2.0953529998951774e-05,200.0,52.77992069721222,4.3698318427319025,1.0,0.0034604297704266054,0.0032804386852414735,30.0,0.17745270729064938,0.0035753239004615396,2.0,0.001974876692423445,0.0013837379485521998,50,0.2636286854743958,0.00607629629053112,1,0.001488998517030435,0.0013118142700792646,100,0.5071799755096436,0.042618550858637645,1,0.0012893380105420049,0.0012740520590047066,200,0.7184402108192444,0.1523583793654366,1
FFM-1000-200-0.50-SAT-1,10000,0.30267084513601544,0.03402718577091397,30,37.618927359580994,2.3790545014928837,2,0.28293688520540894,0.03470734478267635,50,70.49069608449936,4.876317233651326,1,0.2533114638261593,0.019786839372961045,100,196.96922031641006,9.202394427951175,1,nan,nan,nan,nan,nan,nan,0.3410701703272551,0.036406711830580855,30.0,0.6123937964439392,0.0557780117851243,3.0,0.3173283130053479,0.031354575117335345,50,1.0728348731994628,0.08004310802765982,2,0.27533320390414495,0.020285496553422377,100,2.1333642840385436,0.19074852260334613,1,0.24501357488554026,0.020809503290682093,200,3.4607057213783263,0.4765061981551144,1
FFM-125-25-0.50-SAT-1,10000,0.25340224653261456,0.03463543011891613,30,9.92514466047287,1.434312358827531,2,0.24828928630823768,0.034557686170445086,50,16.28632310628891,1.9036743051388794,2,0.22530274001712608,0.01203984651316804,100,41.55535098314285,4.177385445994461,1,0.21565873332752844,0.0035942143622061944,200.0,98.0516352891922,8.517376745147708,1.0,0.2809045944760205,0.03149477067178159,30.0,0.4206741213798523,0.005571998571764871,3.0,0.24874971547078348,0.03009411724469551,50,0.6785403490066528,0.07407156722328603,2,0.22339280301404166,0.021587668831830414,100,1.5482141733169557,0.10111719167898459,1,0.21486961538518212,0.0055093695685147276,200,2.5332952737808228,0.42719187862525565,1
FFM-250-50-0.50-SAT-1,10000,0.38756786883817396,0.024443552659727887,30,12.99647523164749,1.0979808851750854,3,0.3626771704170224,0.017807986799332962,50,21.58001790046692,1.8014110593434804,1,0.34776231732357654,0.0076364601399072606,100,58.73597778081894,6.328168071809854,1,0.3460669649968289,0.008715034098697016,200.0,176.56922776699065,7.809653689582858,1.0,0.3938483913384384,0.02234642561806255,30.0,0.5777842760086059,0.012326911641524073,3.0,0.37445778798246715,0.018676913695813896,50,0.6166067123413086,0.06204642361207996,2,0.3557331194557499,0.013055053956024286,100,1.8132939696311952,0.17540969229060754,1,0.34793179165190474,0.010305542398954152,200,1.9960755348205566,0.4688161477184695,1
FFM-500-100-0.50-SAT-1,10000,0.34104706991634737,0.03361115626479766,30,13.780352210998535,2.4716533051129557,2,0.3119325540752072,0.027406752485144743,50,21.102408909797667,2.0464196053104367,1,0.27919168320364196,0.010932670223987319,100,93.72102879285812,3.732791406776821,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3731896210353924,0.0464026915709527,50,0.6790372133255005,0.01599042132081836,3,0.3183970511597409,0.024441780086392553,100,1.3284447193145752,0.05984153543069725,1,0.2877470481193388,0.029748076331474575,200,3.065791630744934,0.4650079409307578,1
FM-500-100-0.25-SAT-1,10000,0.3559410732078176,0.01769791526627795,30,13.212249171733855,1.7355632335070212,2,0.3421783485918096,0.01440564096065702,50,22.19373197555542,2.668016030254514,1,0.3271631016041374,0.007851206290452039,100,64.78995656967163,4.33691012959854,1,0.3273122051377727,0.007074599735864427,200.0,157.7706278681755,8.95394294188586,1.0,0.38228980225478904,0.023467030379517587,30.0,0.24481674432754516,0.0075092635307268795,3.0,0.36275407278293986,0.023113843501698247,50,0.38988295793533323,0.003629230886926281,2,0.3367754757839128,0.012684716611068046,100,2.2573386788368226,0.12551717656968117,1,0.3250099953644477,0.005616680162634263,200,2.220366668701172,0.2753902450290965,1
FM-500-100-0.50-SAT-1,10000,0.34954526307517897,0.031187234137262532,30,12.857652127742767,1.7182905599721854,2,0.3268038244520995,0.02275736730686508,50,23.382897222042082,4.739234374848883,1,0.30002365329556413,0.025543189126359715,100,59.53810957670212,4.071072769154367,1,0.27319713143780605,0.016405091084074015,200.0,155.9225802063942,9.557174824226902,1.0,0.37703791725816094,0.02781240646606803,30.0,0.24216125011444087,0.006437478528696872,3.0,0.35630432369716264,0.03406850192842971,50,0.4413429856300354,0.011225210981252842,2,0.32492454830166856,0.02275274912168968,100,0.8844926357269287,0.03517628326156933,1,0.30442104284224114,0.027177267190310935,200,1.286092495918274,0.1903644729422025,1
FM-500-100-0.75-SAT-1,10000,0.30367684087024455,0.039065973424494076,30,12.191957902908324,1.2101660348859593,2,0.26747425760143656,0.018716808951535515,50,22.7516197681427,2.3341822672837873,1,0.25671076824150274,0.017387602362368377,100,59.83051869869232,4.691790625247145,1,0.25583003957794564,0.013517806525544705,200.0,145.83150398731232,8.757425636164218,1.0,0.35183545307759995,0.03727213171311518,30.0,0.26952682733535765,0.02559719940796153,3.0,0.3171078464689742,0.034041759222429545,50,0.8465499997138977,0.06570407834328897,2,0.27178702306511154,0.02003619096017918,100,0.7155173659324646,0.047094680139775455,1,0.25606477976612646,0.013831976467590917,200,0.9738449096679688,0.16839588283875748,1
FM-500-100-1.00-SAT-1,10000,0.33294798892800564,0.025950750412558742,30,14.594623267650604,1.5030881365710753,2,0.31590342673189287,0.018850349933412017,50,23.307770466804506,1.680186127483278,1,0.30132418786594134,0.008909285817955742,100,58.359280622005464,4.356025223499385,1,0.29516381060709085,0.005362469214773547,200.0,151.97020889520644,6.158539779521359,1.0,0.37493676382986774,0.03816036309045658,30.0,0.24903252124786376,0.0102814777231427,3.0,0.34549932090078633,0.027872038083040167,50,0.38870973587036134,0.00781574251268786,2,0.31193807017375075,0.014243027879028446,100,0.8375060558319092,0.07408727047257374,1,0.2986066235861242,0.010369125229427973,200,2.492798388004303,0.5522022213624191,1
