Section,Reference,Opponent,Win,Tie,Lose,W+T vs L
DE-100 vs all others,DE-100,DE-200,0,8,98,8 vs 98 (8%)
DE-100 vs all others,DE-100,EZR-100,29,12,65,41 vs 65 (39%)
DE-100 vs all others,DE-100,EZR-200,16,9,81,25 vs 81 (24%)
DE-100 vs all others,DE-100,GA-100,49,16,41,65 vs 41 (61%)
DE-100 vs all others,DE-100,GA-200,33,13,60,46 vs 60 (43%)
DE-100 vs all others,DE-100,HILL-100,36,15,55,51 vs 55 (48%)
DE-100 vs all others,DE-100,HILL-200,27,14,65,41 vs 65 (39%)
DE-100 vs all others,DE-100,ONEPLUSONE-100,80,18,8,98 vs 8 (92%)
DE-100 vs all others,DE-100,ONEPLUSONE-200,63,17,26,80 vs 26 (75%)
DE-100 vs all others,DE-100,Random-100,87,19,0,106 vs 0 (100%)
DE-100 vs all others,DE-100,Random-200,87,19,0,106 vs 0 (100%)
DE-100 vs all others,DE-100,TS-100,63,18,25,81 vs 25 (76%)
DE-100 vs all others,DE-100,TS-200,61,18,27,79 vs 27 (75%)
DE-200 vs all others,DE-200,DE-100,98,8,0,106 vs 0 (100%)
DE-200 vs all others,DE-200,EZR-100,56,8,42,64 vs 42 (60%)
DE-200 vs all others,DE-200,EZR-200,34,8,64,42 vs 64 (40%)
DE-200 vs all others,DE-200,GA-100,78,8,20,86 vs 20 (81%)
DE-200 vs all others,DE-200,GA-200,65,8,33,73 vs 33 (69%)
DE-200 vs all others,DE-200,HILL-100,67,8,31,75 vs 31 (71%)
DE-200 vs all others,DE-200,HILL-200,47,8,51,55 vs 51 (52%)
DE-200 vs all others,DE-200,ONEPLUSONE-100,92,8,6,100 vs 6 (94%)
DE-200 vs all others,DE-200,ONEPLUSONE-200,86,8,12,94 vs 12 (89%)
DE-200 vs all others,DE-200,Random-100,98,8,0,106 vs 0 (100%)
DE-200 vs all others,DE-200,Random-200,98,8,0,106 vs 0 (100%)
DE-200 vs all others,DE-200,TS-100,80,8,18,88 vs 18 (83%)
DE-200 vs all others,DE-200,TS-200,76,8,22,84 vs 22 (79%)
EZR-100 vs all others,EZR-100,DE-100,65,12,29,77 vs 29 (73%)
EZR-100 vs all others,EZR-100,DE-200,42,8,56,50 vs 56 (47%)
EZR-100 vs all others,EZR-100,EZR-200,15,9,82,24 vs 82 (23%)
EZR-100 vs all others,EZR-100,GA-100,64,14,28,78 vs 28 (74%)
EZR-100 vs all others,EZR-100,GA-200,59,14,33,73 vs 33 (69%)
EZR-100 vs all others,EZR-100,HILL-100,60,14,32,74 vs 32 (70%)
EZR-100 vs all others,EZR-100,HILL-200,45,14,47,59 vs 47 (56%)
EZR-100 vs all others,EZR-100,ONEPLUSONE-100,81,13,12,94 vs 12 (89%)
EZR-100 vs all others,EZR-100,ONEPLUSONE-200,75,13,18,88 vs 18 (83%)
EZR-100 vs all others,EZR-100,Random-100,92,14,0,106 vs 0 (100%)
EZR-100 vs all others,EZR-100,Random-200,92,14,0,106 vs 0 (100%)
EZR-100 vs all others,EZR-100,TS-100,69,14,23,83 vs 23 (78%)
EZR-100 vs all others,EZR-100,TS-200,69,14,23,83 vs 23 (78%)
EZR-200 vs all others,EZR-200,DE-100,81,9,16,90 vs 16 (85%)
EZR-200 vs all others,EZR-200,DE-200,64,8,34,72 vs 34 (68%)
EZR-200 vs all others,EZR-200,EZR-100,82,9,15,91 vs 15 (86%)
EZR-200 vs all others,EZR-200,GA-100,77,9,20,86 vs 20 (81%)
EZR-200 vs all others,EZR-200,GA-200,74,9,23,83 vs 23 (78%)
EZR-200 vs all others,EZR-200,HILL-100,77,9,20,86 vs 20 (81%)
EZR-200 vs all others,EZR-200,HILL-200,69,9,28,78 vs 28 (74%)
EZR-200 vs all others,EZR-200,ONEPLUSONE-100,87,8,11,95 vs 11 (90%)
EZR-200 vs all others,EZR-200,ONEPLUSONE-200,82,8,16,90 vs 16 (85%)
EZR-200 vs all others,EZR-200,Random-100,97,9,0,106 vs 0 (100%)
EZR-200 vs all others,EZR-200,Random-200,97,9,0,106 vs 0 (100%)
EZR-200 vs all others,EZR-200,TS-100,79,9,18,88 vs 18 (83%)
EZR-200 vs all others,EZR-200,TS-200,77,9,20,86 vs 20 (81%)
GA-100 vs all others,GA-100,DE-100,41,16,49,57 vs 49 (54%)
GA-100 vs all others,GA-100,DE-200,20,8,78,28 vs 78 (26%)
GA-100 vs all others,GA-100,EZR-100,28,14,64,42 vs 64 (40%)
GA-100 vs all others,GA-100,EZR-200,20,9,77,29 vs 77 (27%)
GA-100 vs all others,GA-100,GA-200,1,16,89,17 vs 89 (16%)
GA-100 vs all others,GA-100,HILL-100,33,18,55,51 vs 55 (48%)
GA-100 vs all others,GA-100,HILL-200,21,15,70,36 vs 70 (34%)
GA-100 vs all others,GA-100,ONEPLUSONE-100,75,20,11,95 vs 11 (90%)
GA-100 vs all others,GA-100,ONEPLUSONE-200,70,19,17,89 vs 17 (84%)
GA-100 vs all others,GA-100,Random-100,85,21,0,106 vs 0 (100%)
GA-100 vs all others,GA-100,Random-200,85,21,0,106 vs 0 (100%)
